name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Tveit Muskantor Leah, Köpings BTK,39,21,,18,,,,,
Tveit Muskantor Rebecca, Eslövs AI BTK,36,,,36,,,,,
Baasan Nomin, Eslövs AI BTK,33,5,28,,,,,,
Olsson Linn, BTK Frej,25,3,13,9,,,,,
Holgersson Hanna, IK Juno,24,,,24,,,,,
Hansen Maja Helene, OB Bordtennis,21,,18,3,,,,,
Hansson Matilda, Eslövs AI BTK,18,,,18,,,,,
Johansson Linnea, Spårvägens BTK,18,5,13,,,,,,
Rosager Christensen Ann-Christine, Viby BTK,14,2,7,5,,,,,
Stoffregen Mille, Silkeborg BTK,14,9,,5,,,,,
Händén Anja, Västers BTK,13,9,4,,,,,,
Kalvatn Christine, Fokus BTK,13,13,,,,,,,
Kelly Danielle, IK Juno,13,,4,9,,,,,
Nilsson Alice, Våxtorps BOIS,12,,7,5,,,,,
Eriksson Sofia, BTK Rekord,10,3,2,5,,,,,
Axelsson Sandra, Eslövs AI BTK,9,5,1,3,,,,,
Fred Josephina, Mariedals IK,9,,,9,,,,,
Maribo Sally, BTK Viby,9,3,1,5,,,,,
Nurga Raili, Sport Club Pinx,9,,,9,,,,,
Haagensen Jocefina, Hvidovre Bordtennis,8,5,,3,,,,,
Oredsson Tuva, Halmstad BTK,7,,4,3,,,,,
Ronnebring Tuva, Kosta SK,7,,7,,,,,,
Svensson Agnes, Halmstad BTK,7,,7,,,,,,
Svensson Lina, Halmstad BTK,7,,4,3,,,,,
Kullingsjö Isabelle, IFK Falköping BTK,6,3,1,2,,,,,
Natanaelsson Moa, Spårvägens BTK,6,3,1,2,,,,,
Hellström Ida, Ängby SK,5,,,5,,,,,
Johansson Emilia, Sjömarkens BTK,5,3,2,,,,,,
Sadikovic Melisa, Luxembourg,5,,,5,,,,,
Zajac Anna, Tibble-Kungsängen BTK,5,,,5,,,,,
Baig Maliha, England,4,,4,,,,,,
Jetha Sienna, England,4,,4,,,,,,
Pashley Ella, England,4,,4,,,,,,
Shute Mabel, England,4,,4,,,,,,
Dumont Tessy, Luxembourg,3,,,3,,,,,
Eckeroth Sofia, Denmark,3,,,3,,,,,
Flor Wilhemsen Susanne, Trondheim BTK,3,,,3,,,,,
Girlea Maria, Finland,3,,,3,,,,,
Hejdebäck Emilia, Gefle PK,3,,,3,,,,,
Ikkonen Eiris, LTK Kalev,3,,,3,,,,,
Mitt Maia, LTK Kalev,3,,,3,,,,,
Riina Hanson Katrin, LTK Kalev,3,,,3,,,,,
Skjøld Hinze Filippa, Fokus BTK,3,3,,,,,,,
Stahle Ohlin Klara, Spårvägens BTK,3,,,3,,,,,
Söderlund Elvira, Sjömarkens BTK,3,3,,,,,,,
Vendelbo Emma, Denmark,3,,,3,,,,,
Wålme Malva, Askims BTK,2,2,,,,,,,
Dittlau Hannah, IFK Täby BTK,1,,1,,,,,,
Jones Megan, England,1,,1,,,,,,
Urbonaite Vaiva, Åstorps BTK,1,,1,,,,,,
