name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Lindsö Daniel, Söderhamns UIF,79,24,,55,,,,,
Niva Jönsson Axel, BTK Frej,64,4,55,5,,,,,
Hedbom Max, BTK Rekord,63,24,39,,,,,,
Törngren Hugo, Eslövs AI BTK,54,7,16,31,,,,,
Sjövold Alve, Ängby SK,46,7,,39,,,,,
Haug Borgar, Halmstad BTK,45,45,,,,,,,
Sundin Isak, Spårvägens BTK,44,12,16,16,,,,,
Dyekjaer Theo, IFK Lund Bordtennis,43,12,31,,,,,,
Lundqvist Elliot, Söderhamns UIF,40,31,,9,,,,,
Carlsson Charlie, Eskilstuna BTK,31,,,31,,,,,
Samuolis Dominykas, Roskilde BTK 61,31,,31,,,,,,
Mikael Joel, Lyckeby BTK,29,4,16,9,,,,,
Friis-Hansen Emil, Spårvägens BTK,26,12,9,5,,,,,
Nylén Hugo, Halmstad BTK,25,,9,16,,,,,
Wiener Hampus, BTK Rekord,22,4,9,9,,,,,
Widing Charlie, Halmstad BTK,20,4,16,,,,,,
Alfredsson Isak, Halmstad BTK,18,,9,9,,,,,
Bramfors Karl, Horreds BTK,18,4,9,5,,,,,
Edwardsson Isak, Ängby SK,18,4,9,5,,,,,
Lundqvist Simon, Söderhamns UIF,18,2,,16,,,,,
Alestedt Peter, IFK Täby BTK,17,7,5,5,,,,,
Hansson Victor, Horreds BTK,17,7,5,5,,,,,
Bergenblock William, Halmstad BTK,16,,,16,,,,,
Larsson Dennis, Söderhamns UIF,16,2,5,9,,,,,
Klang Johannes, Askims BTK,15,7,5,3,,,,,
Sandholt Mattias, BTK Rekord,14,2,3,9,,,,,
Sjögren Elias, Ängby SK,13,4,9,,,,,,
Davidsson Wilmer, Mariedals IK,12,4,5,3,,,,,
Färdig Elias, Gefle PK,12,2,5,5,,,,,
Johnsson Emil, Halmstad BTK,12,2,5,5,,,,,
Rommedahl Hugo, Huskvarna Södra IS,12,4,3,5,,,,,
Wesshagen Edward, Spårvägens BTK,12,12,,,,,,,
Sundin Elias, Spårvägens BTK,11,4,5,2,,,,,
Bergman William, Stratos Enköping BTK,10,2,5,3,,,,,
Kotromanac Aleksandar, Åstorps BTK,10,4,3,3,,,,,
Sali Alper, Spårvägens BTK,10,7,3,,,,,,
Skobe Adam, Mariedals IK,10,2,3,5,,,,,
Törner Jakob, Spårvägens BTK,10,7,,3,,,,,
Dahlström Noa, Mariedals IK,9,,,9,,,,,
Ellis Toby, England,9,,9,,,,,,
Gravsiö Wallin Adam, IFK Täby BTK,9,,,9,,,,,
Ridegård Charlie, Eslövs AI BTK,9,4,5,,,,,,
Bergenblock Sebastian, Askims BTK,8,2,3,3,,,,,
Ransgart Fabian, Norrtulls SK,8,,5,3,,,,,
Darvis Ingi, Horreds BTK,7,4,3,,,,,,
Noah Lam Khai, Fokus BTK,7,7,,,,,,,
Fraenell Axel, Spårvägens BTK,6,,3,3,,,,,
Lidén Helmer, Norrtulls SK,6,,3,3,,,,,
Rudén John, Ängby SK,6,,3,3,,,,,
Wassdahl Alexander, Söderhamns UIF,6,2,1,3,,,,,
Öhman Isac, Norrtulls SK,6,,3,3,,,,,
Asgedom Nahom, Greenhouse Academy,5,,,5,,,,,
Bjerking Simon, Skurups BTK,5,2,3,,,,,,
Dennison Adam, England,5,,5,,,,,,
Dennison Joseph, England,5,,5,,,,,,
Ebenius Ludwig, Ängby SK,5,2,3,,,,,,
Gerakios Gerogios, Sölvesborgs BTK,5,,3,2,,,,,
Hagström Måns, Norrtulls SK,5,,3,2,,,,,
Kah Emilio, Skurups BTK,5,2,3,,,,,,
Kahlos Juha, Finland,5,,,5,,,,,
Keränen Linus, Norrtulls SK,5,,,5,,,,,
Lee Hörnell Ludvig, Uppsala BTK,5,2,1,2,,,,,
Liljegren Simon, LinnePartille PK,5,2,,3,,,,,
Linander Erik, Klippans BTK,5,2,3,,,,,,
Majdalani Henry, Spårvägens BTK,5,,,5,,,,,
Piggot Benjamin, England,5,,5,,,,,,
Sahle Carl, Horreds BTK,5,,,5,,,,,
Skouboe Berntsen Oliver, Denmark,5,,,5,,,,,
Takeuchi Lassen Noah, Roskilde BTK 61,5,,5,,,,,,
Trumpauskas Larry, England,5,,5,,,,,,
Fraenell Vilmer, Spårvägens BTK,4,,1,3,,,,,
Fröseth Martin, Halmstad BTK,4,4,,,,,,,
Gjörling Lukas, Ängby SK,4,4,,,,,,,
Hartvigsen Magnus, Silkeborg BTK,4,4,,,,,,,
Högman Jakob, Heby AIF,4,,1,3,,,,,
Tabbakh Obada, Ortvikens PK,4,,1,3,,,,,
Arvidsson Edvin, BTK Frej,3,,,3,,,,,
Bildhjerd Alwin, Spårvägens BTK,3,,,3,,,,,
Dittlau Eric, Söderhamns UIF,3,,1,2,,,,,
Fritzen Tjark, Linköpings PK,3,,,3,,,,,
Gustafsson Benjamin, Eslövs AI BTK,3,,3,,,,,,
Hedblad Sigge, IFK Täby BTK,3,,,3,,,,,
Hunter Joseph, England,3,,3,,,,,,
Jarenfors Johan, BTK Dalen,3,2,1,,,,,,
Johansson Hjalmar, Norrtulls SK,3,,,3,,,,,
Johansson Marcus, Askims BTK,3,,3,,,,,,
Kingham Isaac, England,3,,3,,,,,,
Larsson Valle, Uppsala BTK,3,,3,,,,,,
Lehtola Lassi, Finland,3,,,3,,,,,
Lidén Isaksson Hannes, Eslövs AI BTK,3,,,3,,,,,
Lundgren Martin, BTK Rekord,3,,3,,,,,,
Nilsson Lukas, Kungälvs BTK,3,2,1,,,,,,
Normann Christopher, Virum-Sorgenfri BTK,3,,3,,,,,,
Shevchenko Dima, Uppsala BTK,3,,3,,,,,,
Shoar Kristian, Uppsala BTK,3,,3,,,,,,
Skoglund Albin, Askims BTK,3,,3,,,,,,
Sköld Filip, Söderhamns UIF,3,,,3,,,,,
Strid Axel, Ängby SK,3,,,3,,,,,
Strindberg Fabian, Söderhamns UIF,3,,,3,,,,,
Svensson Viktor, Söderhamns UIF,3,,,3,,,,,
Thelin Albin, Horreds BTK,3,,,3,,,,,
