name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Ranefur Elias, Ängby SK,133,39,55,39,,,,,
Lundquist Jens, Söderhamns UIF,55,,,55,,,,,
Möregårdh Truls, Eslövs AI BTK,55,55,,,,,,,
Gerell Pär, Kosta SK,52,31,5,16,,,,,
Helmy Mahmoud, Egypten,40,,9,31,,,,,
Söderlund Hampus, BTK Rekord,39,,39,,,,,,
Lindsö Daniel, Söderhamns UIF,34,16,9,9,,,,,
Sandström Per, Söderhamns UIF,34,9,16,9,,,,,
Doyen Antoine, Eslövs AI BTK,32,16,16,,,,,,
Cathcart Owen, Halmstad BTK,31,,31,,,,,,
Hachard Antoine, CAEN TTC,31,31,,,,,,,
Nishihara Shoma, BTK Kävlinge,31,,31,,,,,,
Nordberg Hampus, Söderhamns UIF,31,,,31,,,,,
Eriksson Anders, Söderhamns UIF,25,9,,16,,,,,
Widing Charlie, Halmstad BTK,25,9,16,,,,,,
Törngren Hugo, Eslövs AI BTK,24,3,5,16,,,,,
Franco Carlos, Spanien,21,16,5,,,,,,
Klang Johannes, Askims BTK,21,2,16,3,,,,,
Naumi Alex, Eslövs AI BTK,18,9,9,,,,,,
Åkerström Fabian, Halmstad BTK,18,9,9,,,,,,
Alfredsson Isak, Halmstad BTK,17,5,3,9,,,,,
Bergenblock William, Halmstad BTK,16,,,16,,,,,
Haug Borgar, Halmstad BTK,16,16,,,,,,,
Sundin Isak, Spårvägens BTK,16,2,5,9,,,,,
Andersson Anton, Lyckeby BTK,14,5,9,,,,,,
Hedbom Max, BTK Rekord,14,9,5,,,,,,
Loso Sebastian, Spårvägens BTK,14,5,,9,,,,,
Alestedt Peter, IFK Täby BTK,13,5,3,5,,,,,
Larsson Dennis, Söderhamns UIF,13,5,5,3,,,,,
Björklund William, Halmstad BTK,11,3,3,5,,,,,
Friis-Hansen Emil, Spårvägens BTK,11,3,3,5,,,,,
Hansson Victor, Horreds BTK,11,3,5,3,,,,,
Niva Jönsson Axel, BTK Frej,11,3,3,5,,,,,
Andersson David, Eslövs AI BTK,10,5,5,,,,,,
Barius Johan, Norbergs BTK,10,,5,5,,,,,
Edwardsson Isak, Ängby SK,10,5,5,,,,,,
Friis Martin, Spårvägens BTK,10,5,,5,,,,,
Gustafsson Daniel, Västers BTK,10,,5,5,,,,,
Arvidsson Simon, Halmstad BTK,9,,9,,,,,,
Bennborn Tomas, IFK Österåkers BTK,9,,,9,,,,,
Bergman William, Stratos Enköping BTK,9,2,2,5,,,,,
Bramfors Karl, Horreds BTK,9,5,2,2,,,,,
Carlsson Charlie, Eskilstuna BTK,9,,,9,,,,,
Ericson Gustaf, Ängby SK,9,,,9,,,,,
Hjort Anton, Söderhamns UIF,9,9,,,,,,,
Hunter Joseph, England,9,,9,,,,,,
Samuolis Dominykas, Roskilde BTK 61,9,,9,,,,,,
Tran Anthony, Spårvägens BTK,9,9,,,,,,,
Blad Samuel, Lyckeby BTK,8,5,3,,,,,,
Johansson Marcus, Vetlanda BTK,8,3,,5,,,,,
Johnsson Emil, Halmstad BTK,8,,3,5,,,,,
Lundqvist Elliot, Söderhamns UIF,8,3,,5,,,,,
Nylén Hugo, Halmstad BTK,8,3,,5,,,,,
Orantes Alvarez Diego, BTK Rekord,8,3,5,,,,,,
Sali Alper, Spårvägens BTK,8,3,5,,,,,,
Sandholt Mattias, BTK Rekord,8,5,,3,,,,,
Sjögren Elias, Ängby SK,8,5,3,,,,,,
Darvis Ingi, Horreds BTK,7,2,5,,,,,,
Davidsson Wilmer, Mariedals IK,7,2,3,2,,,,,
Larsson Lee, Västers BTK,7,5,2,,,,,,
Rommedahl Hugo, Huskvarna Södra IS,7,2,3,2,,,,,
Dyekjaer Theo, IFK Lund Bordtennis,6,3,3,,,,,,
Gambina Andrew, Halmstad BTK,6,3,3,,,,,,
Liljegren Simon, LinnePartille PK,6,1,3,2,,,,,
Ransgart Fabian, Norrtulls SK,6,,3,3,,,,,
Skobe Adam, Mariedals IK,6,1,2,3,,,,,
Sundin Elias, Spårvägens BTK,6,,3,3,,,,,
Wånggren Albin, Lyckeby BTK,6,3,3,,,,,,
Öhman Isac, Norrtulls SK,6,,1,5,,,,,
Bergenblock Sebastian, Askims BTK,5,1,2,2,,,,,
Dahlström Noah, Mariedals IK,5,,,5,,,,,
Färdig Elias, Gefle PK,5,2,1,2,,,,,
Gerakios Georgios, Sölvesborgs BTK,5,,2,3,,,,,
Kindblad Willhelm, Halmstad BTK,5,5,,,,,,,
Mc Donald Jonatan, Söderhamns UIF,5,,,5,,,,,
Nylander Kim, Falkenbergs BTK,5,,5,,,,,,
Serra Ayuso Angel, Västers BTK,5,,5,,,,,,
Singeorzan Bogdan, DT Echternach,5,,,5,,,,,
Törner Jakob, Spårvägens BTK,5,2,,3,,,,,
Valenet Edouard, Compiegne,5,5,,,,,,,
Wassdahl Alexander, Söderhamns UIF,5,2,1,2,,,,,
Wesshagen Edward, Spårvägens BTK,5,5,,,,,,,
Ebenius Ludwig, Ängby SK,4,2,2,,,,,,
Kah Emilio, Skurups BTK,4,2,2,,,,,,
Lee Hörnell Ludvig, Uppsala BTK,4,1,2,1,,,,,
Lundqvist Simon, Söderhamns UIF,4,2,,2,,,,,
Nilsson Lukas, Kungälvs BTK,4,2,2,,,,,,
Wiener Hampus, BTK Rekord,4,1,,3,,,,,
Arvidsson Edvin, BTK Frej,3,,,3,,,,,
Asgedom Nahom, Greenhouse Academy,3,,,3,,,,,
Campell Dale, B75,3,,1,2,,,,,
David Hold Cristian, Silkeborg BTK,3,3,,,,,,,
Elsen Luka, Luxembourg,3,,,3,,,,,
Ericson Eric, Ängby SK,3,,,3,,,,,
Fraenell Axel, Spårvägens BTK,3,,1,2,,,,,
Fraenell Vilmer, Spårvägens BTK,3,,2,1,,,,,
Fritzen Tjark, Linköpings PK,3,,,3,,,,,
Gummesson Svensson Hannes, BTK Frej,3,3,,,,,,,
Holmqvist Jens, Ängby SK,3,,,3,,,,,
Hovdenak Noah, Fokus BTK,3,3,,,,,,,
Keränen Linus, Norrtulls SK,3,,,3,,,,,
Kotromanac Aleksandar, Åstorps BTK,3,1,,2,,,,,
Lidén Helmer, Norrtulls SK,3,,2,1,,,,,
Lidén Isaksson Hannes, Eslövs AI BTK,3,,,3,,,,,
Lundstedt Magnus, BTK Kävlinge,3,1,2,,,,,,
Majdalani Henry, Spårvägens BTK,3,,,3,,,,,
Mikael Joel, Lyckeby BTK,3,,3,,,,,,
Nielsen Ivik, Grönland,3,,,3,,,,,
Piggot Benjamin, England,3,,3,,,,,,
Ridegård Charlie, Eslövs AI BTK,3,1,2,,,,,,
Sahle Carl, Horreds BTK,3,,,3,,,,,
Sjövold Alve, Ängby SK,3,3,,,,,,,
Skoglund Albin, Askims BTK,3,,3,,,,,,
Skouboe Berntzen Oliver, Denmark,3,,,3,,,,,
Thörn Hannes, Vetlanda BTK,3,3,,,,,,,
Trumpauskas Larry, England,3,,3,,,,,,
Åborg Fredrik, Ängby SK,3,,,3,,,,,
Bjerking Simon, Skurups BTK,2,1,1,,,,,,
Bøhler Thomassen Felix, Fokus BTK,2,2,,,,,,,
Dennison Adam, England,2,,2,,,,,,
Dennison Joseph, England,2,,2,,,,,,
Ellis Toby, England,2,,2,,,,,,
Gjörling Lukas, Ängby SK,2,,,2,,,,,
Hartvigsen Magnus, Silkeborg BTK,2,2,,,,,,,
Höier Erik, Denmark,2,,,2,,,,,
