name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Gravsiö Wallin Adam, IFK Täby BTK,125,55,39,31,,,,,
Jobs Hugo, Ängby SK,97,31,5,16,45,,,,
Sjösvärd Melker, Linköpings Pingisklubb,83,16,16,39,12,,,,
Madhu Chandra Bharath, Spårvägens BTK,80,9,55,16,,,,,
Alvendal Theo, Norrtulls SK,67,39,16,,12,,,,
Gjörling Emil, Ängby SK,63,16,16,31,,,,,
Geijer Axel, KFUM Jönköping IA,61,9,5,16,31,,,,
Enbom Noah, Carlshamns BTK,58,9,16,9,24,,,,
Abramov Natanael, Rishon LeZion,55,,,55,,,,,
Hedblad Sigge, IFK Täby BTK,49,9,31,9,,,,,
Usov Mark, Haparanda SKT,40,31,,9,,,,,
Piilola Mio, BTK Frej,37,16,9,5,7,,,,
Engberg-Havsteen Johan, Åstorps BTK,34,16,9,9,,,,,
Kingham Issac, England,31,,31,,,,,,
Larsson Sebastian, Spårvägens BTK,30,5,9,9,7,,,,
Röhr Jack, Spårvägens BTK,30,9,9,5,7,,,,
Hallberg Leon, Halmstad BTK,29,9,5,3,12,,,,
Larsson Vidar, Uppsala BTK,24,5,9,3,7,,,,
Sellado Abraham, England,24,,,,24,,,,
Ståhl Olle, Ängby SK,23,9,5,9,,,,,
Severinsen Malik, ESBJERG,22,5,5,5,7,,,,
Bröms August, Norrtulls SK,19,5,5,5,4,,,,
Hasselbalch Emil, Virum/Sorgenfri BTK,19,3,9,3,4,,,,
Johansson Melker, Norrtulls SK,19,5,9,5,,,,,
Lett Nottelmann Adam, Brønshøj,19,9,5,5,,,,,
Kongsdal Andreas, Vestegnen BTK,18,5,5,1,7,,,,
Lehtola Lassi, Finland,16,,,16,,,,,
Bozanovic Emilio, BTK Rekord,15,5,5,5,,,,,
Myrhage Axel, Askims BTK,15,5,5,3,2,,,,
Hermann Magne, Lekstorps IF,14,5,3,2,4,,,,
Høier Erik, Bronshoj,14,5,,9,,,,,
Karlsson Englund Simon, Spårvägens BTK,14,,5,5,4,,,,
Lundh Gabriel, Spårvägens BTK,13,3,5,5,,,,,
Ahrenholt Jensen Marcus, Hilleröd Bordtennis,12,,5,3,4,,,,
Boberg Nils, IFK Klagshamn,12,,3,2,7,,,,
Petersson Tintin, IFK Klagshamn,12,3,5,,4,,,,
Radiven Max, England,12,,,,12,,,,
Wirk Nikolaj, Vestegnen BTK,12,5,3,,4,,,,
Engström Alexander, Hammarby IF BTF,11,5,,2,4,,,,
Fischer Mio, Norrtulls SK,10,2,5,2,1,,,,
Törnkvist Hampus, Halmstad BTK,10,2,3,1,4,,,,
Blom Jonathan, Frederiksbergs Bordtennisklub,9,,9,,,,,,
Claeson Felix, IFK Lund Bordtennis,9,5,,,4,,,,
Hallén Zac, Trelleborgs BTK,9,,3,2,4,,,,
Sahr Aaron, Luxembourg,9,,,9,,,,,
Sträm Jacob, Ängby SK,9,3,1,5,,,,,
Ellermann Emil, Västers BTK,8,2,3,3,,,,,
Grahn Skoog Theo, Böksholms IF,8,,3,3,2,,,,
