name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Alfredsson Isak, Halmstad BTK,144,55,20,5,9,55
Edwardsson Isak, Ängby SK,92,16,11,31,3,31
Ridegård Charlie, Eslövs AI BTK,92,9,39,,5,39
Bergenblock William, Halmstad BTK,91,,,55,31,5
Lam Khai Noah, Fokus BTK,86,31,,,55,
Nylén Hugo, Halmstad BTK,83,31,7,5,9,31
Hunter Joseph, England,79,,48,,31,
Piggot Benjamin, England,75,,66,,9,
Larsson Dennis, Söderhamns UIF,70,3,4,31,16,16
Mikael Joel, Lyckeby BTK,60,16,7,16,16,5
Carlsson Charlie, Eskilstuna BTK,58,,,3,39,16
Lidèn Isaksson Hannes, Eslövs AI BTK,54,3,4,39,5,3
Sjölander Erik, Mariedals IK,54,5,39,,5,5
Bergman William, Stratos Enköping BTK,48,9,20,9,5,5
Alestedt Peter, IFK Täby BTK,46,39,4,,,3
Dahlström Noa, Mariedals IK,46,9,11,5,16,5
Färdig Elias, Gefle PK,43,9,11,9,5,9
Sjögren Elias, Ängby SK,43,16,11,,,16
Bramfors Karl, Horreds BTK,42,5,20,3,5,9
Wiener Hampus, BTK Rekord,41,5,20,16,,
Johnsson Emil, Halmstad BTK,39,9,7,9,9,5
Rommedahl Hugo, Huskvarna Södra IS,38,3,11,16,5,3
Davidsson Wilmer, Mariedals IK,37,5,4,3,9,16
Arvidsson Edvin, BTK Frej,36,5,4,9,9,9
Hansson Victor, Horreds BTK,33,9,7,5,3,9
Ebenius Ludwig, Ängby SK,31,5,11,5,5,5
Törner Jakob, Spårvägens BTK,31,9,,16,3,3
Sandholt Mattias, BTK Rekord,26,5,7,9,,5
Sjövold Alve, Ängby SK,26,16,,5,5,
Ståhl Olle, Ängby SK,26,5,7,5,,9
Gjörling Lukas, Ängby SK,23,5,4,5,,9
Ransgart Fabian, Norrtulls SK,23,,4,5,5,9
Skobe Adam, Mariedals IK,22,3,4,3,9,3
Fröseth Martin, Halmstad BTK,21,5,,,16,
Gravsiö Wallin Adam, IFK Täby BTK,21,5,11,,,5
Hedblad Sigge, IFK Täby BTK,21,5,11,,,5
Johansson Marcus, Askims BTK,20,3,7,,5,5
Madhu Chandra Bharath, Spårvägens BTK,20,5,7,5,,3
Sundin Elias, Spårvägens BTK,18,5,,5,3,5
Jobs Hugo, Ängby SK,17,5,7,,,5
Engström Lukas, LinnePartille PK,16,3,4,,,9
Gjörling Emil, Ängby SK,16,3,7,,3,3
Haglund Emil, Norrtulls SK,15,3,4,5,,3
Larsson Valle, Uppsala BTK,15,3,4,3,5,
Lidén Helmer, Norrtulls SK,15,,4,5,3,3
Andersson Samuel, Halmstad BTK,14,1,4,3,3,3
Skouboe Oliver, Hvidovre Bordtennis,14,1,4,9,,
Enbom Noah, Carlshamns BTK,13,3,4,1,,5
Kotromanac Aleksandar, Åstorps BTK,13,3,4,3,,3
Soploher Jona, Svanesunds GIF,13,1,,9,,3
Dennison Adam, England,12,,7,,5,
Hagström Måns, Norrtulls SK,12,1,2,1,3,5
Trumpauskas Larry, England,12,,7,,5,
Öhman Isac, Norrtulls SK,12,,2,5,,5
Johansson Hjalmar, Norrtulls SK,11,,4,3,1,3
Ströberg Jesper Hålta IK,11,,4,1,3,3
Tabbakh Obada, Ortvikens PK,11,3,2,3,,3
Christiansson Jacob, Mölndals BTK,10,3,4,,,3
Rudén John, Ängby SK,10,,7,3,,
Abramov Natanael, Rishon LeZion,9,,,9,,
David Hold Cristian, Silkeborg BTK,9,9,,,,
Ellbring Elias, LinnePartille PK,9,1,4,,3,1
Geijer Axel, KFUM Jönköping IA,9,3,4,1,,1
Piwowar Jakub, England,9,,,,9,
Wesshagen William, Norrtulls SK,9,1,2,,3,3
Alvendal Theo, Norrtulls SK,8,3,2,,,3
Bøhler Thomassen Felix, Fokus BTK,8,3,,,5,
Fly-Kristensen Lasse, BTK Viby,8,1,7,,,
Ibrahim Noah, Vestegnen BTK,8,1,4,,3,
Lundqvist Simon, Söderhamns UIF,8,5,,3,,
Dennison Joseph, England,7,,4,,3,
Ellis Toby, England,7,,7,,,
Kingham Issac, England,7,,7,,,
Persson Oscar, IFK Österåkers BTK,7,,,3,1,3
Sandegren Oskar, Spårvägens BTK,7,3,4,,,
Axelsson Hampus, Horreds BTK,6,2,1,,,3
Dittlau Eric, Söderhamns UIF,6,,4,1,,1
Gierup David, Uppsala BTK,6,3,2,1,,
Gustafsson Melker, Dänningelanda BTK,6,,4,1,,1
Gustavsson Vidar, Spårvägens BTK,6,3,2,1,,
Järverud Eriksson Isak, Askims BTK,6,3,,,,3
Linander Erik, Klippans BTK,6,3,,,3,
Salawa Wiktor, Tibble-Kungsängen BTK,6,3,,3,,
Wigelius Aron, IFK Lund,6,,,,3,3
Ahlgren Elliot, Lindome BTK,5,3,2,,,
Andreasen Sofus, Virum BTK,5,3,2,,,
Dunkley Ben, England,5,,,,5,
Gustafsson Benjamin, Eslövs AI BTK,5,3,1,,,1
Högman Jakob, Heby AIF,5,,1,1,3,
Käld Areskoug Kimmy, Tullinge TP BTK,5,,1,1,,3
Leth Nottelmann Adam, Brönshöj,5,,4,1,,
Ljunggren Richard, Ängby SK,5,,4,1,,
Lundgren Martin, BTK Rekord,5,,1,,3,1
Luong Borg Alexander, Oskarshamns BTK,5,3,1,,1,
Sträm Jacob, Ängby SK,5,3,1,,,1
Svensson Viktor, Söderhamns UIF,5,,,5,,
Tibold Noé, Luxembourg,5,,,5,,
Trygg Tor, Spårvägens BTK,5,3,,1,1,
Bergqvist David, Norrtulls SK,4,1,2,,1,
Bildhjerd Alwin, Ängby SK,4,,,3,1,
Blomstrand Lukas, Spårvägens BTK,4,1,2,1,,
Brunzell Kevin, Ängby SK,4,,4,,,
Bunge Tristan, Ängby SK,4,,4,,,
Bölenius Pontus, Boo KFUM IA,4,,1,,,3
Floreby Axel, Linköpings Pingisklubb,4,1,,,,3
Gjörling Rasmus, Ängby SK,4,,,1,,3
Häggström Axel, Norrtulls SK,4,1,1,,1,1
Lee Hörnell Ludvig, Uppsala BTK,4,1,,3,,
Lindau Arvid, Halmstad BTK,4,1,2,,,1
Lindberg William, Tibble-Kungsängen BTK,4,,4,,,
Rode Von Essen Theodor, Virum-Sorgenfri,4,,1,,3,
Tantalos Theo, Lekstorps IF,4,1,,,,3
Tran Nick, OB Bordtennis,4,,4,,,
Walstedt Linus, Hammarby IF BTF,4,3,,1,,
Weston Sixten, Spårvägens BTK,4,,,1,3,
Årstrand Ville, Lekstorps IF,4,3,,,,1
Aaagard Torum Mats Fokus BTK,3,,,,3,
Ah-King Lo, Hammarby IF BTF,3,,,,,3
Barbi Hilly, Rishon LeZion,3,,,3,,
Bjerke Einar, BTK Safir,3,3,,,,
Budal Zune, Vestegnen BTK,3,,,,3,
Elsen Luka, Luxembourg,3,,,3,,
Flores Halldén Benjamin, Ängby SK,3,,,3,,
Fuchs Matan, Rishon LeZion,3,,,3,,
Gerakios Georgios, Sölvesborgs BTK,3,,,3,,
Gilad Levin, Rishon LeZion,3,,,3,,
Häger Gustav, Spårvägens BTK,3,1,,1,1,
Höier Erik, Denmark,3,,,3,,
Kahlos Juho, Finland,3,,,3,,
Kongsdal Andreas, Denmark,3,,,3,,
Lambinet Noah, Luxembourg,3,,,3,,
Lehtola Lassi, Finland,3,,,3,,
Li Ethan, Spårvägens BTK,3,,,1,1,1
Nelly Edvard, Ängby SK,3,,,3,,
Papsø Mikkel, Silkeborg BTK,3,3,,,,
Pullinen Leonid, Finland,3,,,3,,
Röhr Jack, Spårvägens BTK,3,,,3,,
Sahr Aaron, Luxembourg,3,,,3,,
Shoar Kristian, Uppsala BTK,3,,2,1,,
Strand Alvar, Solna BTK,3,,,,,3
Usov Mark, Haparanda SKT,3,,,,,3
Vaher Andrus, LTK Kalev,3,,,3,,
Vieherlaiho Leon, Finland,3,,,3,,
Wu Erik, Askims BTK,3,,,,3,
Zhou Kevin, Virum-Sorgenfri BTK,3,,1,,1,1
Ahmad Diako, Tibble-Kungsängen BTK,2,1,1,,,
Alfredsson Max, Gefle PK,2,,,1,1,
Arnell Elling, LinnePartille PK,2,1,1,,,
Beijer Josef, IFK Lund BT,2,,,,,2
Byström William, Lekstorps IF,2,1,,,,1
Devantier Kallestrup Oscar, Björnshöj,2,,1,1,,
Dommermuth Sivertsen Fredrik, Fokus BTK,2,2,,,,
Ekeroth Hugo, Halmstad BTK,2,,1,,1,
Grähs Manne, Uppsala BTK,2,,2,,,
Larsson Hugo, Ljungsbro BTK,2,1,,,1,
Liljegren Simon, LinnePartille PK,2,2,,,,
Lundin Benjamin, Askims BTK,2,1,,,1,
Myrhage Axel, Askims BTK,2,,1,,,1
Mäkelä Ola, Uppsala BTK,2,1,1,,,
Nilsson Malte, IFK Klagshamn,2,,,,1,1
Nilsson Noa, IFK Lund BT,2,,,,,2
Pihl Emil, Lekstorps IF,2,1,,,,1
Aaagard Torum Ulrik, Fokus BTK,1,,,,1,
Alfredsson Morgan, Gefle PK,1,,,,1,
Bengtsson Simon, Halmstad BTK,1,,,,,1
Berg Sivert, Fokus BTK,1,1,,,,
Bjerke Ebbe, BTK Safir,1,1,,,,
Ekström André, Tullinge TP BTK,1,,1,,,
Eneroth Otto, Lyckeby BTK,1,,,,1,
Engström Vilmer, LinnePartille PK,1,1,,,,
Falk Joel, Norrtulls SK,1,,,1,,
Fischer Mio, Norrtulls SK,1,,1,,,
Guldstrand Oliver, BTK Rekord,1,,,,,1
Gustafsson Gunnar, Boo KFUM IA,1,,,,,1
Hermann Magne, Lekstorps IF,1,1,,,,
Häggander Tore, Svanesunds GIF,1,,1,,,
Höghöj Bedsted Janus, Brönshöj,1,,1,,,
Jedland Emil, Uppsala BTK,1,,1,,,
Jonasson Karl, BTK Frej,1,,,,1,
Lundin Filip, Askims BTK,1,1,,,,
Magnusson Edwin, Mariedals IK,1,,,,,1
Majdalani Viktor, Spårvägens BTK,1,,,,1,
Martinsson Hugo, Lekstorps IF,1,,,,,1
Mattbäck Kean, Söderhamns UIF,1,,,1,,
Pelling Vincent, Uppsala BTK,1,,1,,,
