name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Johansson Melker, Norrtulls SK,81,18,45,18,,
Larsson Vidar, Uppsala BTK,76,36,12,28,,
Severinsen Malik, ESBJERG,73,24,24,7,18,
Karlsson Englund Simon, Spårvägens BTK,63,,31,7,4,21
Ellermann Emil, Västers BTK,55,9,24,13,,9
Boberg Nils, IFK Klagshamn,41,18,7,4,7,5
Hasselbalch Emil, Virum/Sorgenfri BTK,41,9,12,7,13,
Isaksson Joel, Vetlanda BTK,41,9,12,,7,13
Sellado Abraham, England,28,,,,28,
Lindahl Linus, Dänningelanda BTK,26,5,4,4,4,9
Hjertman Ruben, Spårvägens BTK,21,2,4,2,13,
Grahn Skoog Theo, Böksholms IF,20,5,2,4,4,5
Ingeström Albin, Ängby SK,19,5,7,2,,5
Pelles Alexander, Norrtulls SK,19,1,,13,,5
Troske Elliott, Ängby SK,19,5,7,4,,3
Forsberg Carl, Lekstorps IF,14,3,7,,4,
Appelblad Christensen Hugo, IFK Täby BTK,13,2,7,1,,3
Hallén Zac, Trelleborgs BTK,13,5,4,2,2,
Olsson William, Söderhamns UIF,13,9,,4,,
Bork Viggo, Amager BTK,12,5,7,,,
Tang Jakob, Amager BTK,12,,12,,,
Johansson Oliver, Dänningelanda BTK,11,2,2,,7,
Stahl Eriksen Felix, Virum.Sorgenfri BTK,11,,4,,7,
Stucki Harry, Hammarby IF BTF,10,5,,4,,1
Bartholomæussen Victor, Amager BTK,9,2,7,,,
Tang Dylan, Fokus BTK,9,5,,,4,
Dahlström Hugo, Kalmar BTK,8,2,2,,2,2
Zmara Vito, Ortvikens PK,8,3,1,4,,
Oinas Luka, OPT-86,7,,,7,,
Sandström Svante, IFK Karlshamn,7,,7,,,
Siljan Isac, Halmstad BTK,7,3,2,,,2
Gustafsson Åmark Arvid, Mölndals BTK,6,2,2,,,2
Ödlund Sixten, Oskarshamns BTK,6,3,1,,2,
Cederholm Anton, Tomelilla AIS,5,3,2,,,
Nilsson Filip, BTK Rekord,5,1,4,,,
Pham Johnny, IFK Täby BTK,5,2,,,2,1
Tang Emil, Amager BTK,5,1,4,,,
Aplander Rosencrantz Carl Fredrik, BTK Rekord,4,,4,,,
Berg Oscar, Tomelilla AIS,4,,4,,,
Florå Wilmer, Halmstad BTK,4,1,2,,,1
Hjalmarsson Alexander, Kalmar BTK,4,,,,4,
Jensen Mathias, Amager BTK,4,,4,,,
Levin Ville, KFUM Kristianstad BTF,4,,4,,,
Norburg Harald, Ängby SK,4,,1,,,3
Pihlcrantz Leon, IFK Täby BTK,4,,,4,,
Hedman Flynn, Hammarby IF BTF,3,2,,1,,
Holkedahl Erik, Rotebro BTK,3,3,,,,
Kruse Gustav, Hammarby IF BTF,3,,,,,3
Venevi Sebastian, Trelleborgs BTK,3,,1,,1,1
Ahlbom Viggo, IFK Täby BTK,2,,,2,,
Andersson Alfred, Vaggeryds BTK,2,1,1,,,
Arvidsson Ture, Linköpings Pingisklubb,2,2,,,,
Asp Albin, Norrtälje BTK,2,,,,2,
Bernström Kalle, Västers BTK,2,,,2,,
Elmgren Villads Amager BTK,2,,2,,,
Koivumäki Jimi, TIP-70,2,,,2,,
Kosa Charlie, IFK Klagshamn,2,,2,,,
Kristiansen Hans, Amager BTK,2,1,1,,,
Löfqvist Theo, Mariedals IK,2,,,,,2
Nilsson Anton, BTK Rekord,2,,2,,,
Norén Erik, Särö IK,2,,,,,2
Persson Leo, KFUM Jönköping IA,2,,,,,2
Puljer Torsten, Ortvikens PK,2,,,2,,
Roos Sebastian, BTK Scania,2,,2,,,
Stojic Mihajlo, BTK Rekord,2,1,1,,,
Sänd Silferhjelm Svante, Spårvägens BTK,2,,,2,,
Arvidsson Vincent, Vaggeryds BTK,1,,1,,,
Borg Oscar, Bergkvara BTK,1,,,,1,
Buch Vural Felix, Team Egedal BTK,1,,1,,,
Burfelt Melker, Lyckeby BTK,1,,,,1,
Eriksson Nicholas, IFK Täby BTK,1,,,1,,
Erlandsen Niklas, Fokus BTK,1,1,,,,
Gomejzon Benjamin, Boo KFUM IA,1,,,,,1
Hobeoja Ottomar, LTK Kalev,1,,,1,,
Kernell Dante, Spårvägens BTK,1,,,1,,
Kozintesev Enrico, LTK Kalev,1,,,1,,
Kuivinen Henry, Hammarby IF BTF,1,1,,,,
Lafin Eddie, KFUM Jönköping IA,1,,,,,1
Mehmedovic Alvin, Högsby BTK,1,,,,1,
Nyström Algot, Bergkvara BTK,1,,,,1,
Olofsson Munoz Felix, Spårvägens BTK,1,,,1,,
Radoor Mikkel, Team Egedal BTK,1,,1,,,
Shabani Elias, BTK Rekord,1,,1,,,
Sharon Harel, Rishon LeZion,1,,,1,,
Wall Leon, Oskarshamns BTK,1,,,,1,
Wall Noel, Oskarshamns BTK,1,,,,1,
Wiksten Nikolaj, IFK Klagshamn,1,,1,,,
Wintvik Henrik, Halmstad BTK,1,1,,,,
Öberg Leo, IFK Visby,1,1,,,,
