name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Alfredsson Isak, Halmstad BTK,144,55,20,5,9,55,
Ridegård Charlie, Eslövs AI BTK,101,9,39,,5,39,9
Bergenblock William, Halmstad BTK,100,,,55,31,5,9
Nylén Hugo, Halmstad BTK,99,31,7,5,9,31,16
Carlsson Charlie, Eskilstuna BTK,97,,,3,39,16,39
Edwardsson Isak, Ängby SK,95,16,11,31,3,31,3
Mikael Joel, Lyckeby BTK,91,16,7,16,16,5,31
Lam Khai Noah, Fokus BTK,86,31,,,55,,
Hunter Joseph, England,79,,48,,31,,
Larsson Dennis, Söderhamns UIF,75,3,4,31,16,16,5
Piggot Benjamin, England,75,,66,,9,,
Bergman William, Stratos Enköping BTK,64,9,20,9,5,5,16
Alestedt Peter, IFK Täby BTK,62,39,4,,,3,16
Lidèn Isaksson Hannes, Eslövs AI BTK,59,3,4,39,5,3,5
Sjölander Erik, Mariedals IK,59,5,39,,5,5,5
Dahlström Noa, Mariedals IK,55,9,11,5,16,5,9
Lei Balazs, Eskilstuna BTK,55,,,,,,55
Fröseth Martin, Halmstad BTK,52,5,,,16,,31
Sjögren Elias, Ängby SK,52,16,11,,,16,9
Johnsson Emil, Halmstad BTK,48,9,7,9,9,5,9
Färdig Elias, Gefle PK,46,9,11,9,5,9,3
Wiener Hampus, BTK Rekord,46,5,20,16,,,5
Bramfors Karl, Horreds BTK,45,5,20,3,5,9,3
Rommedahl Hugo, Huskvarna Södra IS,43,3,11,16,5,3,5
Davidsson Wilmer, Mariedals IK,42,5,4,3,9,16,5
Hansson Victor, Horreds BTK,42,9,7,5,3,9,9
Sandholt Mattias, BTK Rekord,42,5,7,9,,5,16
Arvidsson Edvin, BTK Frej,39,5,4,9,9,9,3
Ebenius Ludwig, Ängby SK,36,5,11,5,5,5,5
Törner Jakob, Spårvägens BTK,31,9,,16,3,3,
Sjövold Alve, Ängby SK,26,16,,5,5,,
Ståhl Olle, Ängby SK,26,5,7,5,,9,
Skobe Adam, Mariedals IK,25,3,4,3,9,3,3
Gjörling Lukas, Ängby SK,23,5,4,5,,9,
Ransgart Fabian, Norrtulls SK,23,,4,5,5,9,
Skouboe Berntsen Oliver, Hvidovre Bordtennis,23,1,4,9,,,9
Jobs Hugo, Ängby SK,22,5,7,,,5,5
Gravsiö Wallin Adam, IFK Täby BTK,21,5,11,,,5,
Hedblad Sigge, IFK Täby BTK,21,5,11,,,5,
Johansson Marcus, Askims BTK,20,3,7,,5,5,
Lidén Helmer, Norrtulls SK,20,,4,5,3,3,5
Madhu Chandra Bharath, Spårvägens BTK,20,5,7,5,,3,
Enbom Noah, Carlshamns BTK,18,3,4,1,,5,5
Haglund Emil, Norrtulls SK,18,3,4,5,,3,3
Sundin Elias, Spårvägens BTK,18,5,,5,3,5,
Engström Lukas, LinnePartille PK,16,3,4,,,9,
Gjörling Emil, Ängby SK,16,3,7,,3,3,
Kotromanac Aleksandar, Åstorps BTK,16,3,4,3,,3,3
Andersson Samuel, Halmstad BTK,15,1,4,3,3,3,1
Larsson Valle, Uppsala BTK,15,3,4,3,5,,
Alvendal Theo, Norrtulls SK,13,3,2,,,3,5
