name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Dahlström Noa, Kalmar BTK,189,55,48,,31,,55
Skouboe Berntsen Oliver, Hvidovre Bordtennis,130,39,20,55,,,16
Arvidsson Edvin, BTK Frej,129,31,39,,9,45,5
Sjögren Elias, Ängby SK,121,16,66,,,,39
Jobs Hugo, Ängby SK,101,16,20,16,9,24,16
Hunter Joseph, England,94,,39,,55,,
Lidèn Isaksson Hannes, Eslövs AI BTK,86,16,11,31,16,7,5
Sjösvärd Melker, Linköpings Pingisklubb,73,9,7,39,9,,9
Gjörling Emil, Ängby SK,61,5,7,31,9,,9
Alvendal Theo, Norrtulls SK,51,9,2,,5,4,31
Sjölander Erik, Mariedals IK,49,9,11,,9,4,16
Fröseth Martin, Halmstad BTK,47,,,,16,,31
Lidén Helmer, Norrtulls SK,46,,4,16,5,12,9
Geijer Axel, KFUM Jönköping IA,42,5,20,5,3,4,5
Haglund Emil, Norrtulls SK,42,9,7,9,,12,5
Hedblad Sigge, IFK Täby BTK,40,9,7,,,24,
Alfredsson Isak, Halmstad BTK,39,,,,39,,
Madhu Chandra Bharath, Spårvägens BTK,39,16,7,9,,7,
Ståhl Olle, Ängby SK,37,5,11,,,12,9
Enbom Noah, Carlshamns BTK,33,5,7,9,5,7,
Gravsiö Wallin Adam, IFK Täby BTK,32,9,11,,,12,
Leth Nottelmann Adam, Brønshøj,32,3,4,9,,,16
Lam Khai Noah, Fokus BTK,31,,,,31,,
Sundin Elias, Spårvägens BTK,31,31,,,,,
Usov Mark, Haparanda SKT,31,,,,,31,
Gjörling Lukas, Ängby SK,29,9,20,,,,
Ströberg Jesper, Hålta IK,28,,7,9,5,7,
Piilola Mio, BTK Frej,25,5,7,3,1,,9
Engberg-Havsteen Johan, Åstorps BTK,23,5,4,9,,,5
Dennison Adam, England,20,,11,,9,,
Dennison Joseph, England,20,,11,,9,,
Gerakios Georgios, Sövesborgs BTK,20,,11,,,,9
Ellbring Elias, LinnePartille PK,19,5,7,,3,4,
Bröms August, Norrtulls SK,18,3,4,3,3,4,1
Larsson Valle, Uppsala BTK,18,5,7,1,5,,
Tabbakh Obada, Ortvikens PK,18,5,1,5,,7,
Bozanovic Emilio, BTK Rekord,17,5,2,3,,4,3
Devantier Kallestrup Oscar, Brønshøj,17,3,4,5,,,5
Fly-Kristensen Lasse, BTK Viby,17,5,7,,,,5
Röhr Jack, Spårvägens BTK,17,5,4,5,3,,
Abramov Natanael, Rishon LeZion,16,,,16,,,
Elsen Luka, Luxembourg,16,,,16,,,
Ibrahim Noah, Vestegnen BTK,16,3,4,,,,9
Nylén Hugo, Halmstad BTK,16,,,,16,,
Piwowar Jakub, England,16,,,,16,,
Trumpauskas Larry, England,16,,11,,5,,
Beijer Josef, IFK Lund Bordtennis,15,3,2,,3,4,3
Høier Erik, Brönshöj,15,3,,3,,,9
Larsson Sebastian, Spårvägens BTK,15,5,4,3,3,,
Nilsson Malte, IFK Klagshamn,15,3,4,,3,2,3
Bøhler Thomassen Felix, Fokus BTK,14,9,,,5,,
Guldstrand Oliver, BTK Rekord,14,3,1,,3,4,3
Gustavsson Vidar, Spårvägens BTK,14,5,4,5,,,
Wigelius Aron, IFK Lund Bordtennis,14,3,1,,5,2,3
Blomstrand Lukas, Spårvägens BTK,13,5,7,1,,,
Bölenius Pontus, Boo KFUM IA,13,,1,5,,4,3
Persson Oscar, IFK Österåkers BTK,13,,,3,5,2,3
Andersson Samuel, Halmstad BTK,12,2,1,2,3,1,3
Larsson Hugo, Ljungsbro BTK,12,3,,,5,4,
Ljunggren Richard, Ängby SK,12,,4,5,,,3
Soploher Jona, Svanesunds GIF,12,,,5,,7,
Elebring Felix, Linköpings Pingisklubb,11,3,,5,,,3
Gustafsson Melker, Dänningelanda BTK,11,,1,1,1,7,1
Johansson Hjalmar, Norrtulls SK,11,,4,5,1,,1
Li Ethan, Spårvägens BTK,11,3,,3,1,4,
Flores Halldén Benjamin, Ängby SK,10,,,5,,,5
Gustafsson Benjamin, Eslövs AI BTK,10,3,4,,,,3
Häger Gustav, Spårvägens BTK,10,1,,1,3,,5
Jacobsen Markus, Amager BTK,10,3,4,,,,3
Jerdborg Love, Lekstorps IF,10,,,,3,7,
Lindau Arvid, Halmstad BTK,10,3,7,,,,
Myrhage Axel, Askims BTK,10,3,4,1,1,1,
Sträm Jacob, Ängby SK,10,3,4,1,,2,
Ekeroth Hugo, Halmstad BTK,9,,4,,5,,
Lambinet Noah, Luxembourg,9,,,9,,,
Lehtola Lassi, Finland,9,,,9,,,
Lundin Benjamin, Askims BTK,9,3,,3,1,2,
Radiven Max, England,9,,,,9,,
Sandegren Oskar, Spårvägens BTK,9,5,4,,,,
Wu Erik, Askims BTK,9,1,,,1,4,3
Zhou Kevin, Virum-Sorgenfri BTK,9,3,4,,,1,1
Ah-King Lo, Hammarby IF BTF,8,1,,,,2,5
Bildhjerd Alwin, Ängby SK,8,,,3,5,,
Frøseth Jonas, Tingvoll BTK,8,3,,,,,5
Gierup David, Uppsala BTK,8,3,2,3,,,
Häggström Axel, Norrtulls SK,8,1,1,1,1,1,3
Høghøj Bedsted Janus, Brønshøj,8,1,4,,,,3
Kongsdal Andreas, Vestegnen BTK,8,3,2,,,,3
Larsson Vidar, Uppsala BTK,8,,,,3,,5
Lundh Gabriel, Spårvägens BTK,8,3,4,1,,,
Petersson Tintin, IFK Klagshamn,8,,,,1,4,3
Ramnäs Leo, Mölndals BTK,8,,4,,,4,
Adolphson Noa, Spårvägens BTK,7,,4,3,,,
Bengtsson Simon, Halmstad BTK,7,1,1,,,4,1
Brunzell Kevin, Ängby SK,7,,7,,,,
Engström Vilmer, LinnePartille PK,7,1,4,,1,1,
Eriksson Anthony, Tibble-Kungsängen BTK,7,,1,3,,,3
Hermann Magne, Lekstorps IF,7,,,,3,4,
Højslet Gustav, Ribe BTK,7,3,4,,,,
Kingham Issac, England,7,,7,,,,
Lund Heinig David, Hvidovre Bordtennis,7,,7,,,,
Martinsson Hugo, Lekstorps IF,7,3,,,1,2,1
Nilsson Noa, IFK Lund Bordtennis,7,1,1,,,2,3
Trygg Tor, Spårvägens BTK,7,1,,1,5,,
Weston Sixten, Spårvägens BTK,7,,,5,2,,
Ahrenholt Jensen Marcus, Hilleröd Bordtennis,6,,4,1,,,1
Bergqvist David, Norrtulls SK,6,1,1,3,1,,
Budal Zune, Vestegnen BTK,6,3,,,,,3
Engström Alexander, Hammarby IF BTF,6,3,,1,,2,
Haegerstam Hampus, Linköpings PK,6,,,3,,,3
Johansson Melker, Norrtulls SK,6,,,,,1,5
Klingström Walter, Tibble-Kungsängen BTK,6,1,1,3,,,1
Käld Areskoug Kimmy, Tullinge TP BTK,6,,2,3,,1,
Majdalani Viktor, Spårvägens BTK,6,,,3,3,,
Mäkelä Ola, Uppsala BTK,6,1,4,1,,,
Nielsen Snorre, Amager BTK,6,3,2,,,,1
Börjesson Filip, Tomelilla AIS,5,1,1,,,,3
Claesson Felix, IFK Lund BT,5,,,,,,5
Dunkley Ben, England,5,,,,5,,
Fischer Mio, Norrtulls SK,5,1,1,1,1,,1
Gilad Levin, Rishon LeZion,5,,,5,,,
Gjörling Rasmus, Ängby SK,5,,,5,,,
Hetherton Rhys, Wales,5,,,,,,5
Nordenskiöld Frid Max, Spårvägens BTK,5,,,5,,,
Randall Harry, England,5,,,,5,,
Santander Munoz Gabriel, Spårvägens BTK,5,1,,1,3,,
Sivertsen Fredrik, Fokus BTK,5,,,,5,,
Strand Alvar, Solna BTK,5,,,,3,2,
Tibold Noé, Luxembourg,5,,,5,,,
Wirk Nikolaj, Vestegnen BTK,5,,,,,,5
Alfredsson Max, Gefle PK,4,,,1,3,,
Alfredsson Morgan, Gefle PK,4,,,1,3,,
Bjerke Ebbe, BTK Safir,4,1,,3,,,
Bunge Tristan, Ängby SK,4,,4,,,,
Hallberg Leon, Halmstad BTK,4,,4,,,,
Häggander Tore, Svanesunds GIF,4,,4,,,,
Jonasson Karl, BTK Frej,4,1,1,,1,,1
Krook Joel, Askims BTK,4,3,,,,1,
Rode Von Essen Theodor, Virum-Sorgenfri BTK,4,,4,,,,
Vonebjerg Simom, OB Bordtennis,4,,4,,,,
Asterhed Arvid, Lyckeby BTK,3,1,1,,1,,
Bengtsson Tage, KFUM Kristianstad BTF,3,1,1,,,,1
Brandt Edvard, Rotebro BTK,3,3,,,,,
Dommermuth Sivertsen Fredrik, Fokus BTK,3,3,,,,,
Durakovic Neo, BTK Safir,3,,,3,,,
Gardshol Martin, Stenungsunds BTF,3,3,,,,,
Grunfeld Tomy, Rishon LeZion,3,,,3,,,
Itzik Roi, Haifa,3,,,3,,,
