name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Edvardsson Tilda, Carlshamns BTK,28,6,10,9,,,,3
Enbom Alicia, Carlshamns BTK,21,4,4,6,,4,,3
Flor Wilhelmsen Rebekka, Trondheim BTK,18,,,15,,,,3
Voong Chelinda, Vestegnen BTK,18,10,6,,,,2,
Buzzoni Matilde, Team Lombardia,15,,,,,,,15
Sudzum Teodora, Selencia Belgrad,9,,,,,,,9
Zetterström Lisa, Ängby SK,8,2,4,2,,,,
Lundqvist Nike, Söderhamns UIF,7,,,6,,,,1
Åkerstedt Tilda, Karlsborgs BTK,7,,2,2,,3,,
Benjegård Siri, Askims BTK,6,,,,,,,6
Haglund Sara, Norrtulls SK,6,,,3,,,,3
Pageze Eva, Tegion Occitanie,6,,,,,,,6
Svanberg Alice, Sandareds BTK,5,4,,,,1,,
Elmerkind Ebba, Bergkvara BTK,4,,,3,,,1,
Axelsson Hilda, Horreds BTK,3,1,2,,,,,
Chen Alice, Spårvägens BTK,2,,,,,,,2
Lämpegård Olivia, Laholms BTK Serve,2,1,1,,,,,
Phan Lucy, Ulricehamns IF,2,,,,,2,,
Zibunova Anastasija, Latvia,2,,,,,,,2
Andersson Inez, Sjöbo BTK,1,,1,,,,,
Dai Moxiang Anna, Uppsala BTK,1,,,,,,,1
Izulena Marija, Latvia,1,,,,,,,1
Karlsrud Malene, Norge,1,,,,,,,1
Lundh Miriam, Spårvägens BTK,1,,,1,,,,
Oberle Agnes, LTK Kalev,1,,,1,,,,
Vigström Tora, Ängby SK,1,,,1,,,,
