name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Severinsen Malik, ESBJERG,109,24,24,7,18,,36,
Larsson Vidar, Uppsala BTK,94,36,12,28,,,,18
Johansson Melker, Norrtulls SK,81,18,45,18,,,,
Karlsson Englund Simon, Spårvägens BTK,68,,31,7,4,21,,5
Ellermann Emil, Västers BTK,64,9,24,13,,9,,9
Isaksson Joel, Vetlanda BTK,64,9,12,,7,13,18,5
Sellado Abraham, England,64,,,,28,,,36
Hasselbalch Emil, Virum/Sorgenfri BTK,50,9,12,7,13,,9,
Ingeström Albin, Ängby SK,48,5,7,2,,5,24,5
Boberg Nils, IFK Klagshamn,46,18,7,4,7,5,5,
Grahn Skoog Theo, Böksholms IF,39,5,(2),4,4,5,18,3
Lindahl Linus, Dänningelanda BTK,36,5,4,4,(4),9,9,5
Troske Elliott, Ängby SK,26,5,7,4,,3,5,2
Forsberg Carl, Lekstorps IF,24,3,7,,4,,5,5
Hjertman Ruben, Spårvägens BTK,24,2,4,2,13,,,3
Pelles Alexander, Norrtulls SK,24,1,,13,,5,3,2
Piwowar Kacper, England,24,,,,,,,24
Olsson William, Söderhamns UIF,22,9,,4,,,,9
Alibai Adam, Fusion TTC,18,,,,,,,18
Bartholomæussen Victor, Amager BTK,18,2,7,,,,9,
Hallén Zac, Trelleborgs BTK,18,5,4,2,2,,5,
Bork Viggo, Amager BTK,17,5,7,,,,5,
Appelblad Christensen Hugo, IFK Täby BTK,13,2,7,1,,3,,
Dahlström Hugo, Kalmar BTK,13,2,2,,2,2,2,3
Johansson Oliver, Dänningelanda BTK,12,2,2,,7,,1,
Stucki Harry, Hammarby IF BTF,12,5,,4,,1,,2
Tang Dylan, Fokus BTK,12,5,,,4,,,3
Tang Jakob, Amager BTK,12,,12,,,,,
Arvidsson Ture, Linköpings Pingisklubb,11,2,,,,,9,
Stahl Eriksen Felix, Virum.Sorgenfri BTK,11,,4,,7,,,
Nilsson Filip, BTK Rekord,10,1,4,,,,5,
Pham Johnny, IFK Täby BTK,10,2,,,2,1,3,2
Cartau Lois, Region Alpes Cote d'Azur,9,,,,,,,9
Miladinovic Nikola, Selencia Belgrad,9,,,,,,,9
Norburg Harald, Ängby SK,9,,1,,,3,5,
Siljan Isac, Halmstad BTK,9,3,2,,,2,2,
Sandström Svante, IFK Karlshamn,8,,7,,,,1,
Venevi Sebastian, Trelleborgs BTK,8,,1,,1,1,5,
Zmara Vito, Ortvikens PK,8,3,1,4,,,,
Cederholm Anton, Tomelilla AIS,7,3,2,,,,2,
Levin Ville, KFUM Kristianstad BTF,7,,4,,,,3,
Oinas Luka, OPT-86,7,,,7,,,,
Florå Wilmer, Halmstad BTK,6,1,2,,,1,2,
Gustafsson Åmark Arvid, Mölndals BTK,6,2,2,,,2,,
Ödlund Sixten, Oskarshamns BTK,6,3,1,,2,,,
Capanda David, Selencia Belgrad,5,,,,,,,5
Deleraico Gabriel, Team Lombardia,5,,,,,,,5
Escudier Tim, Region Alpes Cote d'Azur,5,,,,,,,5
Holkedahl Erik, Rotebro BTK,5,3,,,,,,2
Koivumäki Jimi, TIP-70 Finland,5,,,2,,,,3
Roos Sebastian, BTK Scania,5,,2,,,,3,
Tang Emil, Amager BTK,5,1,4,,,,,
Aplander Rosencrantz Carl Fredrik, BTK Rekord,4,,4,,,,,
Berg Oscar, Tomelilla AIS,4,,4,,,,,
Bernström Kalle, Västers BTK,4,,,2,,,,2
Hjalmarsson Alexander, Kalmar BTK,4,,,,4,,,
Jensen Mathias, Amager BTK,4,,4,,,,,
Kosa Charlie, IFK Klagshamn,4,,2,,,,2,
Pihlcrantz Leon, IFK Täby BTK,4,,,4,,,,
Ahlbom Viggo, IFK Täby BTK,3,,,2,,,,1
Elmgren Villads Amager BTK,3,,2,,,,1,
Eriksson Nicholas, IFK Täby BTK,3,,,1,,,,2
Färdig Felix, Gefle PK,3,,,,,,,3
Hedman Flynn, Hammarby IF BTF,3,2,,1,,,,
Kernell Dante, Spårvägens BTK,3,,,1,,,,2
Kruse Gustav, Hammarby IF BTF,3,,,,,3,,
Nilsson Anton, BTK Rekord,3,,2,,,,1,
Stojic Mihajlo, BTK Rekord,3,1,1,,,,1,
