name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Olsson Linn, BTK Frej,116,5,31,9,7,28,36,
Nilsson Alice, Våxtorps BOIS,95,,24,24,18,13,9,7
Benjegård Siri, Askims BTK,79,9,45,5,4,4,9,7
Svensson Agnes, Halmstad BTK,79,5,12,18,13,18,9,4
Kalvatn Christine, Fokus BTK,61,36,,,13,,,12
Axelsson Sandra, Eslövs AI BTK,60,18,7,3,2,7,18,7
Oredsson Tuva, Halmstad BTK,47,5,4,5,4,,5,24
Poon Yat, Nottingham TTC,45,,,,,,,45
Vendelbo Clement Emma, Virum/Sorgenfri BTK,45,5,7,9,,,24,
Girlea Maria, Spårvägens BTK,43,,,36,,,,7
Stoffregen Mille, Silkeborg BTK,42,24,,18,,,,
Johansson Emilia, Sjömarkens BTK,38,18,7,,,4,9,
Tveit Muskantor Leah, Köpings BTK,38,,,,7,,,31
Fred Josephina, Mariedals IK,37,5,7,5,4,13,3,
Rosager Christensen AnnChristine, Viby BTK,37,,12,9,,7,5,4
Eriksson Sofia, BTK Rekord,32,9,4,5,7,,5,2
Hansen Maja, OB Bordtennis,30,9,7,9,,,5,
Baasan Nomin, Eslövs AI BTK,28,,,,28,,,
Pashley Ella, England,28,,24,,,,,4
Baldwin Mari, England,24,,,,,,,24
Kullingsjö Isabelle, IFK Falköping BTK,19,9,7,3,,,,
Bebawy Angelina, KFUM Stocksund IA,18,,7,3,,4,3,1
Eckeroth Emma, Denmark,18,,,,,,18,
Natanaelsson Moa, Spårvägens BTK,18,3,12,1,,,,2
Stahle Olin Klara, Spårvägens BTK,18,5,4,3,,4,,2
Engström Betty, Levide IF,17,5,2,3,,2,1,4
Freij Nathalie, Spårvägens BTK,17,3,7,3,,,,4
Sahle Sofia, LinnePartille PK,17,3,4,1,,4,3,2
Thorén Wilma, Eslövs AI BTK,17,3,4,,4,1,3,2
Jones Megan, England,16,,12,,4,,,
Ronnebring Tuva, Kosta SK,16,,4,,,7,5,
Sadikovic Melisa, Luxembourg,15,,,3,,,,12
Ericson Isabella, Oskarshamns BTK,14,1,4,,4,2,3,
Franzén Nellie, Halmstad BTK,14,,,5,,,5,4
Österlund Nathalie, Västers BTK,14,3,4,,,4,3,
Aaltonen Gabriela, Spårvägens BTK,13,,2,3,,4,,4
Sadikovic Enisa, Luxembourg,12,,,,,,,12
Titievskaja Aleksandra, Grantham TTC,12,,,,,,,12
Cabardo Laurynne, Ängby SK,11,,4,3,,,3,1
Della Morte Hillevi, Vassunda IF,11,,4,3,,,3,1
Eckeroth Sofia, Denmark,10,,,5,,,5,
Edvardsson Nora, Lessebo BTK,10,3,4,,1,,1,1
Taus Amanda, Karlsborgs BTK,10,1,2,,,7,,
Wålme Malva, Askims BTK,10,3,1,1,1,1,2,2
Ödlund Tilde, Oskarshamns BTK,10,3,4,,1,1,1,
Ödlund Maja, Oskarshamns BTK,9,1,1,,4,1,2,
Baig Maliha, England,8,,4,,,,,4
Dittlau Hannah, IFK Täby SK,8,,1,1,,4,1,1
Nilsson Wilma, Lyckeby BTK,8,3,1,,4,,,
Dembek Filippa, Askims BTK,7,3,1,,,2,1,
Earley Sophie, England,7,,,,,,,7
Ellermann Clara, Västers BTK,7,,,3,,1,1,2
Flor Wilhemsen Susanne, Trondheims BTK,7,,,3,,,,4
Green Anna, England,7,,,,,,,7
Kellow Ella, Finland,7,,,,,,,7
Lou Sally, VirumSorgenfri BTK,7,,2,1,,,,4
Mariott Amy, England,7,,,,7,,,
Momeni Ramila, Ängby SK,7,1,4,,,,1,1
Patel Anaya, England,7,,,,,,,7
Skjøld Hinze Filippa, Fokus BTK,6,5,,,,,,1
Swartling Frida, Ängby SK,6,,1,,,1,3,1
Urbonaite Vaiva, Åstorps BOIS,6,,2,,1,,3,
Forsberg Ella, Spårvägens BTK,5,,2,1,,1,,1
Hellström Ida, Ängby SK,5,,,5,,,,
Nurga Raili, Sport Club Pinx,5,,,5,,,,
Palmnert Lowa, Eslövs AI BTK,5,1,1,,2,,1,
Shute Mabel, England,5,,1,,,,,4
Sirous Gunnarsson Amelia, Ängby SK,5,,,3,,,1,1
Whitton Lara, Wales,5,,,,,,5,
Asp Amanda, Norrtälje BTK,4,,,1,,2,,1
Asterhed Alma, Lyckeby BTK,4,1,1,,1,,1,
Bornö Sander Elsa, Norge,4,,,,,,,4
Dumont Tessy, Luxembourg,4,,,3,,,,1
Dyrby Hansen Malene, BTK Viby,4,,,,,,,4
Eriksson Alice, Svanesunds GIF,4,1,1,,1,,1,
Ferm Indra, Karlsborgs BTK,4,,4,,,,,
Green Erin, Draycott TTC,4,,,,,,,4
Hedlund Thea, Sjöbo BTK,4,,,,1,,3,
Huynh Vivian, Norge,4,,,,,,,4
Jetha Sienna, England,4,,4,,,,,
Key Saskia, Fusion TTC,4,,,,,,,4
Nilsson Nathalie, Spårvägens BTK,4,1,,1,1,,,1
Swarling Lilly, Ängby SK,4,,1,,,1,1,1
Edberg Tilda, Spårvägens BTK,3,,,3,,,,
Elliot Ruby, Wales,3,,,,,,3,
Ikkonen Eiris, LTK Kalev,3,,,3,,,,
Albaek Maria, Åstorps BOIS,2,,2,,,,,
Borg Felicia, Sjöbo BTK,2,1,1,,,,,
Coker Naomi, England,2,,,,,,,2
Holm Linnea, Ängby SK,2,1,1,,,,,
Rogove Millie, Draycott TTC,2,,,,,,,2
Chaitas Amanda, Spårvägens BTK,1,,1,,,,,
Engstedt Fanny, BTK Safir,1,,,,,,,1
Flor Wilhemsen Rebekka, Trondheims BTK,1,,,1,,,,
Haraldseid Beate, Norge,1,,,,,,,1
Hejdebäck Emilia, Gefle PK,1,,,1,,,,
Mitt Maia, LTK Kalev,1,,,1,,,,
Riina Hanson Katrin, LTK Kalev,1,,,1,,,,
Ronnebring Julia, Lessebo BTK,1,,1,,,,,
Stjärnebring Lovis, Lessebo BTK,1,1,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
