name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Edvardsson Tilda, Carlshamns BTK,25,6,10,9,,
Enbom Alicia, Carlshamns BTK,18,4,4,6,,4
Voong Chelinda, Vestegnen BTK,16,10,6,,,
Flor Wilhelmsen Rebekka, Trondheim BTK,15,,,15,,
Zetterström Lisa, Ängby SK,8,2,4,2,,
Åkerstedt Tilda, Karlsborgs BTK,7,,2,2,,3
Lundqvist Nike, Söderhamns UIF,6,,,6,,
Svanberg Alice, Sandareds BTK,5,4,,,,1
Axelsson Hilda, Horreds BTK,3,1,2,,,
Elmerkind Ebba, Bergkvara BTK,3,,,3,,
Haglund Sara, Norrtulls SK,3,,,3,,
Lämpegård Olivia, Laholms BTK Serve,2,1,1,,,
Phan Lucy, Ulricehamns IF,2,,,,,2
Andersson Inez, Sjöbo BTK,1,,1,,,
Lundh Miriam, Spårvägens BTK,1,,,1,,
Oberle Agnes, LTK Kalev,1,,,1,,
Vigström Tora, Ängby SK,1,,,1,, 
