name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Freij Nathalie, Spårvägens BTK,58,18,31,9,,,,,
Benjegård Siri, Askims BTK,54,9,45,,,,,,
Hansen Maja, OB Bordtennis,43,18,7,18,,,,,
Fred Josephina, Mariedals IK,40,9,7,24,,,,,
Vendelbo Clement Emma, Virum/Sorgenfri BTK,39,9,12,18,,,,,
Kalvatn Christine, Fokus BTK,36,36,,,,,,,
Nilsson Alice, Våxtorps BoIS,36,,,36,,,,,
Della Morte Hillevi, Vassunda IF,29,,24,5,,,,,
Pashley Ella, England,24,,24,,,,,,
Svensson Agnes, Halmstad BTK,24,24,,,,,,,
Aaltonen Gabriella, Spårvägens BTK,21,,12,9,,,,,
Ellermann Clara, Västers BTK,18,5,4,9,,,,,
Stahle Olin Klara, Spårvägens BTK,18,5,4,9,,,,,
Thorén Wilma, Eslövs AI BTK,17,5,12,,,,,,
Lou Sally, Virum Club,16,9,7,,,,,,
Bebawy Angelina, KFUM Stocksund IA,15,3,12,,,,,,
Sahle Sofia, LinnePartille PK,12,3,4,5,,,,,
Ödlund Maja, Oskarshamns BTK,12,5,7,,,,,,
Asp Amanda, Norrtälje Bordtennisklubb,10,3,4,3,,,,,
Engström Betty, Levide IF,10,3,2,5,,,,,
Kure Nikoline, Amager BTK,10,3,7,,,,,,
Edvardsson Nora, Lessebo BTK,9,5,4,,,,,,
Zetterström Frida, Ängby SK,9,3,1,5,,,,,
Österlund Nathalie, Västers BTK,9,5,4,,,,,,
Swartling Lilly, Ängby SK,8,3,4,1,,,,,
Albaek Maria, Åstorps BTK,7,3,4,,,,,,
Baig Maliha, England,7,,7,,,,,,
Cabardo Laurynne, Ängby SK,7,3,4,,,,,,
Dembek Filippa, Åsa IF,7,3,4,,,,,,
Ferm Indra, Karlsborgs BTK,7,5,2,,,,,,
Jetha Sienna, England,7,,7,,,,,,
Mickelborg Filippa, Vestegnen BTK, Greve BTK,7,3,1,3,,,,,
Nilsson Wilma, Lyckeby BTK,7,3,4,,,,,,
Overgaard Fiona, Amager BTK,7,5,2,,,,,,
Shute Mabel, England,7,,7,,,,,,
Swartling Frida, Ängby SK,7,3,1,3,,,,,
Forsberg Ella, Spårvägens BTK,6,,1,5,,,,,
Bjäremo Bianca, Oskarshamns BTK,5,3,1,1,,,,,
Deckert Marie, Bornholm,5,1,4,,,,,,
Dumont Tessy, Luxembourg,5,,,5,,,,,
Eckeroth Sofia, Denmark,5,,,5,,,,,
Franzén Nellie, Halmstad BTK,5,,,5,,,,,
Momeni Ramila, Ängby SK,5,1,1,3,,,,,
Persson Tuva, Sjöbo BTK,5,1,4,,,,,,
Chaitas Amanda, Spårvägens BTK,4,,4,,,,,,
Kinell Juni, Upplands Väsby BTK,4,,4,,,,,,
Urbonaite Vaiva, Åstorps BTK,4,,4,,,,,,
Weng Laura, Vestegnen BTK,4,1,1,2,,,,,
Ahmad Divin, Tibble-Kungsängen BTK,3,1,1,1,,,,,
Flor Wilhemsen Susanne, Trondheims BTK,3,,,3,,,,,
Mitt Maia, LTK Kalev,3,,,3,,,,,
Palmnert Lowa, Eslövs AI BTK,3,1,2,,,,,,
Asterhed Alma, Lyckeby BTK,2,1,1,,,,,,
Borg Felicia, Sjöbo BTK,2,1,1,,,,,,
Dittlau Hannah, IFK Täby BTK,2,,1,1,,,,,
Edberg Tilda, Spårvägens BTK,2,,,2,,,,,
Holm Linnea, Ängby SK,2,1,1,,,,,,
Källström Hilma, Karlsborgs BTK,2,1,1,,,,,,
Lorentzon Emmy, Långemåla BTK,2,1,,1,,,,,
Engstedt Fanny, BTK Safir,1,,,1,,,,,
Farnebo Alice, Ängby SK,1,,,1,,,,,
Lärka Julia, Ängby SK,1,,,1,,,,,
Nordström Meja, Sandareds BTK,1,1,,,,,,,
Ronnebring Julia, Lessebo BTK,1,,1,,,,,,
Sharon Noa, Rishon LeZion,1,,,1,,,,,
Sirous Gunnarsson Amelia, Ängby SK,1,,,1,,,,,
Stjärnebring Lovis, Lessebo BTK,1,1,,,,,,,
