name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Alfredsson Isak, Halmstad BTK,148,55,20,5,9,55,,4
Bergenblock William, Halmstad BTK,148,,,55,31,5,9,48
Carlsson Charlie, Eskilstuna BTK,136,,,3,39,16,39,39
Ridegård Charlie, Eslövs AI BTK,101,9,39,,5,39,9,
Edwardsson Isak, Ängby SK,99,16,11,31,3,31,3,7
Nylén Hugo, Halmstad BTK,99,31,7,5,9,31,16,4
Mikael Joel, Lyckeby BTK,97,16,7,16,16,5,31,11
Piggot Benjamin, England,95,,66,,9,,,20
Lam Khai Noah, Fokus BTK,90,31,,,55,,,4
Hunter Joseph, England,81,,48,,31,,,2
Larsson Dennis, Söderhamns UIF,79,3,4,31,16,16,5,7
Alestedt Peter, IFK Täby BTK,66,39,4,,,3,16,4
Van Dessel Mael, Luxembourg,66,,,,,,,66
Bergman William, Stratos Enköping BTK,64,9,20,9,5,5,16,4
Lidèn Isaksson Hannes, Eslövs AI BTK,63,3,4,39,5,3,5,7
Sjölander Erik, Mariedals IK,59,5,39,,5,5,5,
Sjögren Elias, Ängby SK,56,16,11,,,16,9,4
Dahlström Noa, Kalmar BTK,55,9,11,5,16,5,9,4
Lei Balazs, Eskilstuna BTK,55,,,,,,55,
Fröseth Martin, Halmstad BTK,52,5,,,16,,31,
Johnsson Emil, Halmstad BTK,48,9,7,9,9,5,9,4
Färdig Elias, Gefle PK,47,9,11,9,5,9,3,4
Sjövold Alve, Ängby SK,46,16,,5,5,,,20
Wiener Hampus, BTK Rekord,46,5,20,16,,,5,
Bramfors Karl, Horreds BTK,45,5,20,3,5,9,3,
Arvidsson Edvin, BTK Frej,43,5,4,9,9,9,3,7
Rommedahl Hugo, Huskvarna Södra IS,43,3,11,16,5,3,5,1
Davidsson Wilmer, Mariedals IK,42,5,4,3,9,16,5,
Hansson Victor, Horreds BTK,42,9,7,5,3,9,9,
Sandholt Mattias, BTK Rekord,42,5,7,9,,5,16,
Green Connor, England,39,,,,,,,39
Törner Jakob, Spårvägens BTK,38,9,,16,3,3,,7
Ebenius Ludwig, Ängby SK,36,5,11,5,5,5,5,
Ståhl Olle, Ängby SK,33,5,7,5,,9,,7
Gjörling Lukas, Ängby SK,27,5,4,5,,9,,4
Ransgart Fabian, Norrtulls SK,27,,4,5,5,9,,4
Jobs Hugo, Ängby SK,26,5,7,,,5,5,4
Haglund Emil, Norrtulls SK,25,3,4,5,,3,3,7
Skobe Adam, Mariedals IK,25,3,4,3,9,3,3,
Lidén Helmer, Norrtulls SK,24,,4,5,3,3,5,4
Madhu Chandra Bharath, Spårvägens BTK,24,5,7,5,,3,,4
Gjörling Emil, Ängby SK,23,3,7,,3,3,,7
Gravsiö Wallin Adam, IFK Täby BTK,23,5,11,,,5,,2
Hedblad Sigge, IFK Täby BTK,23,5,11,,,5,,2
Skouboe Berntsen Oliver, Hvidovre Bordtennis,23,1,4,9,,,9,
Alvendal Theo, Norrtulls SK,20,3,2,,,3,5,7
Casane Danien, Region Occitanie,20,,,,,,,20
Giles Sohan, Region Occitanie,20,,,,,,,20
Johansson Marcus, Askims BTK,20,3,7,,5,5,,
Lundqvist Simon, Söderhamns UIF,20,5,,3,,,5,7
Sundin Elias, Spårvägens BTK,20,5,,5,3,5,,2
Dennison Adam, England,19,,7,,5,,,7
Enbom Noah, Carlshamns BTK,19,3,4,1,,5,5,1
Ellis Toby, England,18,,7,,,,,11
Engström Lukas, LinnePartille PK,16,3,4,,,9,,
Kotromanac Aleksandar, Åstorps BTK,16,3,4,3,,3,3,
Larsson Valle, Uppsala BTK,16,3,4,3,5,,,1
Trumpauskas Larry, England,16,,7,,5,,,4
Öhman Isac, Norrtulls SK,16,,2,5,,5,,4
Andersson Samuel, Halmstad BTK,15,1,4,3,3,3,1,1
Piwowar Jakub, England,13,,,,9,,,4
Soploher Jona, Svanesunds GIF,13,1,,9,,3,,
Tabbakh Obada, Ortvikens PK,13,3,2,3,,3,,2
