name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Karlsson Englund Simon, Spårvägens BTK,113,,31,7,4,21,,5,45
Severinsen Malik, ESBJERG,109,24,24,7,18,,36,,
Larsson Vidar, Uppsala BTK,94,36,12,28,,,,18,
Johansson Melker, Norrtulls SK,81,18,45,18,,,,,
Ellermann Emil, Västers BTK,64,9,24,13,,9,,9,
Isaksson Joel, Vetlanda BTK,64,9,12,,7,13,18,5,
Sellado Abraham, England,64,,,,28,,,36,
Forsberg Carl, Lekstorps IF,55,3,7,,4,,5,5,31
Hasselbalch Emil, Virum/Sorgenfri BTK,50,9,12,7,13,,9,,
Ingeström Albin, Ängby SK,48,5,7,2,,5,24,5,
Pelles Alexander, Norrtulls SK,48,1,,13,,5,3,2,24
Boberg Nils, IFK Klagshamn,46,18,7,4,7,5,5,,
Olsson William, Söderhamns UIF,46,9,,4,,,,9,24
Grahn Skoog Theo, Böksholms IF,43,5,-2,4,4,5,18,-3,7
Hjertman Ruben, Spårvägens BTK,36,2,4,2,13,,,3,12
Lindahl Linus, Dänningelanda BTK,36,5,4,4,-4,9,9,5,
Troske Elliott, Ängby SK,36,5,7,4,,3,5,-2,12
Piwowar Kacper, England,24,,,,,,,24,
Arvidsson Ture, Linköpings Pingisklubb,23,2,,,,,9,,12
Norburg Harald, Ängby SK,21,,1,,,3,5,,12
Appelblad Christensen Hugo, IFK Täby BTK,20,2,7,1,,3,,,7
Stucki Harry, Hammarby IF BTF,19,5,,4,,1,,2,7
Tang Dylan, Fokus BTK,19,5,,,4,,,3,7
Alibai Adam, Fusion TTC,18,,,,,,,18,
Bartholomæussen Victor, Amager BTK,18,2,7,,,,9,,
Hallén Zac, Trelleborgs BTK,18,5,4,2,2,,5,,
Bork Viggo, Amager BTK,17,5,7,,,,5,,
Pham Johnny, IFK Täby BTK,14,2,,,2,1,3,2,4
Dahlström Hugo, Kalmar BTK,13,2,2,,2,2,2,3,
Holkedahl Erik, Rotebro BTK,12,3,,,,,,2,7
Johansson Oliver, Dänningelanda BTK,12,2,2,,7,,1,,
Tang Jakob, Amager BTK,12,,12,,,,,,
Zmara Vito, Ortvikens PK,12,3,1,4,,,,,4
Stahl Eriksen Felix, Virum.Sorgenfri BTK,11,,4,,7,,,,
Kernell Dante, Spårvägens BTK,10,,,1,,,,2,7
Nilsson Filip, BTK Rekord,10,1,4,,,,5,,
Cartau Lois, Region Alpes Cote d'Azur,9,,,,,,,9,
Miladinovic Nikola, Selencia Belgrad,9,,,,,,,9,
Siljan Isac, Halmstad BTK,9,3,2,,,2,2,,
Sandström Svante, IFK Karlshamn,8,,7,,,,1,,
Venevi Sebastian, Trelleborgs BTK,8,,1,,1,1,5,,
Cederholm Anton, Tomelilla AIS,7,3,2,,,,2,,
Eriksson Nicholas, IFK Täby BTK,7,,,1,,,,2,4
Färdig Felix, Gefle PK,7,,,,,,,3,4
Kruse Gustav, Hammarby IF BTF,7,,,,,3,,,4
Levin Ville, KFUM Kristianstad BTF,7,,4,,,,3,,
Oinas Luka, OPT-86,7,,,7,,,,,
Rask Arvid, Söderhamns UIF,7,,,,,,,,7
Roseborg Mio, Spårvägens BTK,7,,,,,,,,7
Sänd Silferhjelm Svante, Spårvägens BTK,7,,,2,,,,1,4
Florå Wilmer, Halmstad BTK,6,1,2,,,1,2,,
Gustafsson Åmark Arvid, Mölndals BTK,6,2,2,,,2,,,
Ödlund Sixten, Oskarshamns BTK,6,3,1,,2,,,,
Capanda David, Selencia Belgrad,5,,,,,,,5,
Deleraico Gabriel, Team Lombardia,5,,,,,,,5,
Escudier Tim, Region Alpes Cote d'Azur,5,,,,,,,5,
Koivumäki Jimi, TIP-70 Finland,5,,,2,,,,3,
Roos Sebastian, BTK Scania,5,,2,,,,3,,
Tang Emil, Amager BTK,5,1,4,,,,,,
Aplander Rosencrantz Carl Fredrik, BTK Rekord,4,,4,,,,,,
Berg Oscar, Tomelilla AIS,4,,4,,,,,,
Bernström Kalle, Västers BTK,4,,,2,,,,2,
Elingsbo Edvin, IFK Täby BTK,4,,,,,,,,4
Gillior Jonathan, IFK Täby BTK,4,,,,,,,,4
Hevreng Adrian, IFK Lidingös BTK,4,,,,,,,,4
Hjalmarsson Alexander, Kalmar BTK,4,,,,4,,,,
Jensen Mathias, Amager BTK,4,,4,,,,,,
Josefsson Frank, Uppsala BTK,4,,,,,,,,4
Kosa Charlie, IFK Klagshamn,4,,2,,,,2,,
Kuivinen Henry, Hammarby IF BTF,4,1,,,,,1,,2
Larsson David, Hammarby IF BTF,4,,,,,,,,4
Pihlcrantz Leon, IFK Täby BTK,4,,,4,,,,,
Puljer Torsten, Ortvikens PK,4,,,2,,,,,2
Wang Tom, IFK Täby BTK,4,,,,,,,,4
Ahlbom Viggo, IFK Täby BTK,3,,,2,,,,1,
Elmgren Villads Amager BTK,3,,2,,,,1,,
Hedman Flynn, Hammarby IF BTF,3,2,,1,,,,,
Nilsson Anton, BTK Rekord,3,,2,,,,1,,
Nilsson Elliot, Stratos Enköping BTK,3,,,,,,,1,2
Olofsson Munoz Felix, Spårvägens BTK,3,,,1,,,,1,1
Stojic Mihajlo, BTK Rekord,3,1,1,,,,1,,
Al-Moalem Zacharias, Vestegnen BTK,2,,,,,,2,,
Ali Afshin Ali, IF Norcopensarna,2,,,,,,,,2
Andersson Alfred, Vaggeryds BTK,2,1,1,,,,,,
Andersson Oscar, IFK Täby BTK,2,,,,,,,,2
Asp Albin, Norrtälje BTK,2,,,,2,,,,
Bjerke Otto, Hammarby IF BTF,2,,,,,,,,2
