name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Gravsiö Wallin Adam, IFK Täby BTK,156,55,39,31,,31,
Jobs Hugo, Ängby SK,140,31,5,16,45,12,31
Geijer Axel, KFUM Jönköping IA,113,9,5,16,31,7,45
Sjösvärd Melker, Linköpings Pingisklubb,107,16,16,39,12,,24
Hedblad Sigge, IFK Täby BTK,94,9,31,9,,45,
Madhu Chandra Bharath, Spårvägens BTK,92,9,55,16,,12,
Gjörling Emil, Ängby SK,87,16,16,31,,12,12
Alvendal Theo, Norrtulls SK,81,39,16,,12,7,7
Enbom Noah, Carlshamns BTK,77,9,16,9,24,7,12
Ståhl Olle, Ängby SK,71,9,5,9,,24,24
Usov Mark, Haparanda SKT,64,31,,9,,24,
Piilola Mio, BTK Frej,56,16,9,5,7,12,7
Abramov Natanael, Rishon LeZion,55,,,55,,,
Engberg-Havsteen Johan, Åstorps BTK,46,16,9,9,,,12
Hallberg Leon, Halmstad BTK,43,9,5,3,12,7,7
Kingham Issac, England,31,,31,,,,
Larsson Vidar, Uppsala BTK,31,5,9,3,7,,7
Bröms August, Norrtulls SK,30,5,5,5,4,7,4
Larsson Sebastian, Spårvägens BTK,30,5,9,9,7,,
Röhr Jack, Spårvägens BTK,30,9,9,5,7,,
Bozanovic Emilio, BTK Rekord,29,5,5,5,,7,7
Johansson Melker, Norrtulls SK,27,5,9,5,,4,4
Høier Erik, Bronshoj,26,5,,9,,,12
Leth Nottelmann Adam, Brønshøj,26,9,5,5,,,7
Severinsen Malik, ESBJERG,26,5,5,5,7,,4
Sellado Abraham, England,24,,,,24,,
Hasselbalch Emil, Virum/Sorgenfri BTK,23,3,9,3,4,,4
Kongsdal Andreas, Vestegnen BTK,22,5,5,1,7,,4
Hermann Magne, Lekstorps IF,21,5,3,2,4,7,
Petersson Tintin, IFK Klagshamn,20,3,5,,4,4,4
Ah-King Lo, Hammarby IF BTF,19,5,,,,7,7
Myrhage Axel, Askims BTK,19,5,5,3,2,4,
Karlsson Englund Simon, Spårvägens BTK,18,,5,5,4,4,
Törnkvist Hampus, Halmstad BTK,18,2,3,1,4,4,4
Claeson Felix, IFK Lund Bordtennis,17,5,,,4,4,4
Ahrenholt Jensen Marcus, Hilleröd Bordtennis,16,,5,3,4,,4
Boberg Nils, IFK Klagshamn,16,,3,2,7,2,2
Lehtola Lassi, Finland,16,,,16,,,
Wirk Nikolaj, Vestegnen BTK,16,5,3,,4,,4
Engström Alexander, Hammarby IF BTF,15,5,,2,4,4,
Ingeström Albin, Ängby SK,14,3,3,2,,2,4
Lundh Gabriel, Spårvägens BTK,13,3,5,5,,,
Sträm Jacob, Ängby SK,13,3,1,5,,4,
Ellermann Emil, Västers BTK,12,2,3,3,,4,
Radiven Max, England,12,,,,12,,
Carlsson Hannes, KFUM Kristianstad BTF,11,2,1,,2,2,4
Elebring Felix, Linköpings Pingisklubb,11,2,,5,,,4
Fischer Mio, Norrtulls SK,11,2,5,2,1,,1
Hallén Zac, Trelleborgs BTK,11,,3,2,4,,2
Norburg Harald, Ängby SK,11,,3,2,,4,2
Appelros Elias, Carlshamns BTK,10,3,3,,1,2,1
Bölenius Pontus, Boo KFUM IA,10,,3,1,2,2,2
Grahn Skoog Theo, Böksholms IF,10,,3,3,2,,2
Haegerstam Hampus, Linköpings PK,10,,,3,,,7
Mattsson Anton, Lyckeby BTK,10,1,3,,4,,2
Blom Jonathan, Frederiksbergs Bordtennisklub,9,,9,,,,
Jerdborg Love, Lekstorps IF,9,,3,,2,4,
Martinsson Hugo, Lekstorps IF,9,1,3,,1,2,2
Phan William, IFK Klagshamn,9,,1,,4,,4
Rengbrandt Lucas, Trelleborgs BTK,9,1,3,2,1,1,1
Sahr Aaron, Luxembourg,9,,,9,,,
Eineving Karl, Mölndals BTK,8,1,3,,,4,
Hjertman Ruben, Spårvägens BTK,8,2,1,1,4,,
Højslet Gustav, Ribe BTK,8,3,5,,,,
Pham Johnny, IFK Täby BTK,8,2,,1,2,2,1
Strand Alvar, Solna BTK,8,,,2,2,4,
Svedlund Ivan, Spårvägens BTK,8,5,3,,,,
Af Winklerfelt Axel, Trelleborgs BTK,7,2,1,,2,,2
Drake Leonard, Svanesunds GIF,7,,3,,,4,
Eriksson Antony, Tibble-Kungsängen BTK,7,,3,2,,,2
Frøseth Jonas, Tingvoll BTK,7,3,,,,,4
Randall Harry, England,7,,,,7,,
Troske Elliott, Ängby SK,7,2,1,1,,2,1
Åkerstedt Filip, Karlsborgs BTK,7,,3,3,,1,
Andrae Jacob, Malmö IF,6,3,1,,,,2
Appelgren Isac, Lekstorps IF,6,1,3,,,2,
Blecher Bruno, Norrtulls SK,6,1,3,,,2,
Nilsson Oscar, BTK Frej,6,,1,,2,1,2
Olsson Frank, Spårvägens BTK,6,1,3,1,1,,
Olsson William, Söderhamns UIF,6,5,,1,,,
Pelles Alexander, Norrtulls SK,6,,,2,,2,2
Stucki Harry, Hammarby IF BTF,6,2,,2,,2,
Svanström Alvin, Lyckeby BTK,6,1,3,,1,,1
Adolphson Noa, Spårvägens BTK,5,,3,2,,,
Appelblad Christensen Hugo, IFK Täby BTK,5,,,3,,2,
Bjerke Ebbe, BTK Safir,5,3,,2,,,
Fuchs Matan, Rishon LeZion,5,,,5,,,
Grunfeld Tomy, Rishon LeZion,5,,,5,,,
Gustafsson Gunnar, Boo KFUM IA,5,,,1,,2,2
Koch Liedes Alexander, Horreds BTK,5,1,3,,,1,
Persson Melker, Trelleborgs BTK,5,2,1,,1,,1
Rosenberg Bergholt Villads, Hvidovre Bordtennis,5,,1,2,2,,
Salmi Lenny, Västerås BTK,5,,,5,,,
Sandström Malte, IFK Täby BTK,5,,,1,,4,
Thomas Türi Frank, LTK Kalev,5,,,5,,,
Tolinsson Elliot, Solna BTK,5,3,,2,,,
Zhu William, Spårvägens BTK,5,,,5,,,
Arvidsson Ture, Linköpings Pingisklubb,4,2,,,,,2
Asterhed Arvid, Lyckeby BTK,4,2,1,,1,,
Bartholomausen Victor, Amager BTK,4,,,,,,4
Bravo Eliah, Upplands Väsby BTK,4,,3,1,,,
Forsberg Carl, Lekstorps IF,4,2,,,,,2
Johansson Liam, IFK Lidköping,4,,,,,4,
Saeby Lauritsen Aksel, Roskilde BTK,4,,,,4,,
Sivertsen Fredrik, Fokus BTK,4,,,,4,,
Bigander Vincent, Rotebro BTK,3,3,,,,,
Dommermuth Sivertsen Fredrik, Fokus BTK,3,3,,,,,
Durakovic Neo, BTK Safir,3,,,3,,,
Gustafsson Åmark Arvid, Mölndals BTK,3,1,1,,,1,
Häggström Nils, Spårvägens BTK,3,,,2,1,,
Höij Axel, Ängby SK,3,,,3,,,
Johansson Kenneth, Rotebro BTK,3,3,,,,,
Lambinet Noah, Luxembourg,3,,,3,,,
Lindahl Linus, Dänningelanda BTK,3,,,3,,,
Lydén Lindblom Arvid, IFK Täby BTK,3,2,,1,,,
Månsson Christos, BTK Rekord,3,,1,,,,2
Tang Dylan, Fokus BTK,3,2,,,1,,
Terentjevs Kirils, Latvia,3,,,3,,,
Theisen Max, Luxembourg,3,,,3,,,
Werkström Felix, Lyckeby BTK,3,,1,,1,,1
Wicktor Alexander, Trelleborgs BTK,3,,1,,1,,1
Zmara Vito, Ortvikens PK,3,,1,2,,,
Brouwer Didrik, Mölndals BTK,2,1,,,,1,
Freij Kelvered Oliver, Mölndals BTK,2,1,,,,1,
Gran Victor, Åsa IF,2,1,1,,,,
Hassellöv Trond, Svanesunds GIF,2,,,,,2,
Johansson Gustav, Fokus BTK,2,1,,,1,,
Koivumäki Jimi, TIP-70,2,,,2,,,
Kraiko Martin, LTK Kalev,2,,,2,,,
Kruse Gustav, Hammarby IF BTF,2,,,,,2,
Kuivinen Henry, Hammarby IF BTF,2,,,1,,,1
Leigert Adam, Mölndals BTK,2,,,,,2,
Luks Arturs, Latvia,2,,,2,,,
Nordman Måns, Solna BTK,2,,,2,,,
Oinas Luka, OPT-86,2,,,2,,,
Oskarsson David, Eslövs AI BTK,2,1,1,,,,
Razi Siddiqi Bassam Babar, Roskilde BTK,2,,,,2,,
Stahl Eriksen Felix, Virum-Sorgenfri BTK,2,,1,,1,,
Swedmark Torsten, Boo KFUM IA,2,,,,,2,
Taherinasab Arvin, Mariedals IK,2,,,,,2,
Tang Emil, Amager BTK,2,,,,,,2
Tibblin Emil, Stratos Enköping BTK,2,,,2,,,
Asp Albin, Norrtälje BTK,1,,,,1,,
Björk Hugo, Vaggeryds BTK,1,,1,,,,
Brandt Edvard, Rotebro BTK,1,1,,,,,
Christensen Gustav, Vestegnen BTK,1,,,,,,1
Emanuels Pupins Benjamins, Latvia,1,,,1,,,
Erlandsen Niklas, Fokus BTK,1,1,,,,,
Fredriksson Albin, Spårvägens BTK,1,,,1,,,
Gomejzon Benjamin, Boo KFUM IA,1,,,,,1,
Hansson Albin, Sandareds BTK,1,,,,,1,
Harwood Toby, Wales,1,,,,,,1
Hobeoja Ottomar, LTK Kalev,1,,,1,,,
Holkedahl Erik, Rotebro BTK,1,1,,,,,
Hultin Felix, Mariedals IK,1,,,,,1,
Häggander Melker Svenesunds GIF,1,,1,,,,
Isaksson John, Kungsbacka BTK,1,1,,,,,
Itzik Roi, Haifa,1,,,1,,,
Kozintesev Enrico, LTK Kalev,1,,,1,,,
Milberg Aslan, Vestegnen BTK,1,,,,,,1
Patjas Elias, Ängby SK,1,,,1,,,
Puljer Torsten, Ortvikens PK,1,,,1,,,
Ralfs Zeme Aleksis, Latvia,1,,,1,,,
Rusinovs Maksims, Latvia,1,,,1,,,
Rydell Mio, Munkedals BTK,1,,,,,1,
Sandberg Algot, Trelleborgs BTK,1,,1,,,,
Sharon Harel, Rishon LeZion,1,,,1,,,
Vallevi Swiderski Dominik, Lyckeby BTK,1,,,,1,,
Venevi Sebastian, Trelleborgs BTK,1,,,,,,1
Westblad Otto, BTK Rekord,1,,,,,,1
Zubkov Kirill, LTK Kalev,1,,,1,,,
