name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Dahlström Noa, Kalmar BTK,196,55,48,,31,,55,7
Skouboe Berntsen Oliver, Hvidovre Bordtennis,130,39,20,55,,,16,
Arvidsson Edvin, BTK Frej,129,31,39,,9,45,5,
Sjögren Elias, Ängby SK,121,16,66,,,,39,
Jobs Hugo, Ängby SK,101,16,20,16,9,24,16,7
Hunter Joseph, England,98,,39,,39,,,20
Alfredsson Isak, Halmstad BTK,94,,,,55,,,39
Lidèn Isaksson Hannes, Eslövs AI BTK,86,16,11,31,16,7,5,4
Sjösvärd Melker, Linköpings Pingisklubb,77,9,7,39,9,,9,4
Gjörling Emil, Ängby SK,68,5,7,31,9,,9,7
Green Connor, England,66,,,,,,,66
Alvendal Theo, Norrtulls SK,55,9,2,,5,4,31,4
Lidén Helmer, Norrtulls SK,53,,4,16,5,12,9,7
Usov Mark, Haparanda SKT,51,,,,,31,,20
Haglund Emil, Norrtulls SK,49,9,7,9,,12,5,7
Sjölander Erik, Mariedals IK,49,9,11,,9,4,16,
Bergenblock William, Halmstad BTK,48,,,,,,,48
Ståhl Olle, Ängby SK,48,5,11,,,12,9,11
Fröseth Martin, Halmstad BTK,47,,,,16,,31,
Hedblad Sigge, IFK Täby BTK,44,9,7,,,24,,4
Gravsiö Wallin Adam, IFK Täby BTK,43,9,11,,,12,,11
Madhu Chandra Bharath, Spårvägens BTK,43,16,7,9,,7,,4
Geijer Axel, KFUM Jönköping IA,42,5,20,5,3,4,5,2
Lam Khai Noah, Fokus BTK,42,,,,31,,,11
Flaaten Sebastian, Norge,39,,,,,,,39
Enbom Noah, Carlshamns BTK,37,5,7,9,5,7,,4
Gjörling Lukas, Ängby SK,33,9,20,,,,,4
Leth Nottelmann Adam, Brønshøj,32,3,4,9,,,16,
Dennison Joseph, England,31,,11,,9,,,11
Sundin Elias, Spårvägens BTK,31,31,,,,,,
Ströberg Jesper, Hålta IK,28,,7,9,5,7,,
Dennison Adam, England,27,,11,,9,,,7
EngbergHavsteen Johan, Åstorps BTK,27,5,4,9,,,5,4
Piilola Mio, BTK Frej,27,5,7,3,1,,9,2
Piwowar Jakub, England,27,,,,16,,,11
Elsen Luka, Luxembourg,23,,,16,,,,7
Larsson Valle, Uppsala BTK,22,5,7,1,5,,,4
